"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Dulliken";4657;0;"Dulliken";"SO";7.946;47.347
"Dully";1195;2;"Dully";"VD";6.294;46.429
"Dussnang";8374;0;"Fischingen";"TG";8.959;47.431
"Duvin";7112;0;"Ilanz/Glion";"GR";9.211;46.715
"Dägerlen";8471;2;"Dägerlen";"ZH";8.718;47.561
"Dällikon";8108;0;"Dällikon";"ZH";8.434;47.443
"Däniken SO";4658;0;"Däniken";"SO";7.976;47.352
"Dänikon ZH";8114;0;"Dänikon";"ZH";8.410;47.447
"Därligen";3707;0;"Därligen";"BE";7.806;46.659
"Därstetten";3763;0;"Därstetten";"BE";7.495;46.658
"Dättlikon";8421;0;"Dättlikon";"ZH";8.621;47.528
"Dättwil AG";5405;2;"Baden";"AG";8.287;47.450
"Démoret";1415;2;"Démoret";"VD";6.756;46.747
"Dörflingen";8239;0;"Dörflingen";"SH";8.722;47.706
"Döttingen";5312;0;"Döttingen";"AG";8.260;47.564
"Dübendorf";8600;0;"Dübendorf";"ZH";8.610;47.392
"Düdingen";3186;0;"Düdingen";"FR";7.190;46.846
"Dürnten";8635;0;"Dürnten";"ZH";8.838;47.278
"Dürrenroth";3465;0;"Dürrenroth";"BE";7.796;47.088
"Dürrenäsch";5724;0;"Dürrenäsch";"AG";8.154;47.318
"Ebersecken";6245;0;"Ebersecken";"LU";7.933;47.181
"Ebersol";9122;2;"Neckertal";"SG";9.151;47.348
"Ebertswil";8925;0;"Hausen am Albis";"ZH";8.550;47.226
"Ebikon";6030;0;"Ebikon";"LU";8.340;47.081
"Ebmatingen";8123;0;"Maur";"ZH";8.642;47.353
"Ebnat-Kappel";9642;0;"Ebnat-Kappel";"SG";9.119;47.260
"Ebnet";6163;0;"Entlebuch";"LU";8.077;47.021
"Echallens";1040;0;"Echallens";"VD";6.634;46.640
"Echandens";1026;3;"Echandens";"VD";6.542;46.532
"Echarlens";1646;0;"Echarlens";"FR";7.075;46.647
"Echichens";1112;0;"Echichens";"VD";6.498;46.526
"Eclagnens";1376;2;"Goumoëns";"VD";6.591;46.651
"Eclépens";1312;0;"Eclépens";"VD";6.525;46.652
"Ecoteaux";1612;0;"Oron";"VD";6.862;46.545
"Ecublens FR";1673;4;"Ecublens (FR)";"FR";6.808;46.608
"Ecublens VD";1024;0;"Ecublens (VD)";"VD";6.562;46.526
"Ecuvillens";1730;0;"Hauterive (FR)";"FR";7.086;46.758
"Ederswiler";2813;0;"Ederswiler";"JU";7.335;47.426
"Edlibach";6313;2;"Menzingen";"ZG";8.571;47.179
"Effingen";5078;0;"Effingen";"AG";8.101;47.489
"Effretikon";8307;0;"Illnau-Effretikon";"ZH";8.695;47.420
"Egerkingen";4622;0;"Egerkingen";"SO";7.796;47.326
"Egg (Flawil)";9231;0;"Flawil";"SG";9.223;47.391
"Egg SZ";8847;0;"Einsiedeln";"SZ";8.780;47.161
"Egg b. Zürich";8132;0;"Egg";"ZH";8.691;47.300
"Eggenwil";5445;0;"Eggenwil";"AG";8.339;47.367
"Eggerberg";3939;0;"Eggerberg";"VS";7.880;46.308
"Eggersriet";9034;0;"Eggersriet";"SG";9.465;47.444
"Eggiwil";3537;0;"Eggiwil";"BE";7.799;46.875
"Eglisau";8193;0;"Eglisau";"ZH";8.526;47.575
"Egliswil";5704;0;"Egliswil";"AG";8.190;47.351
"Egnach";9322;0;"Egnach";"TG";9.383;47.548
"Egolzwil";6243;0;"Egolzwil";"LU";8.002;47.184
"Ehrendingen";5420;0;"Ehrendingen";"AG";8.347;47.497
"Eich";6205;0;"Eich";"LU";8.170;47.153
"Eichberg";9453;0;"Eichberg";"SG";9.529;47.345
"Eigenthal";6013;0;"Schwarzenberg";"LU";8.214;47.008
"Eigergletscher";3823;2;"Lauterbrunnen";"BE";7.973;46.574
"Eiken";5074;0;"Eiken";"AG";7.988;47.536
"Einigen";3646;0;"Spiez";"BE";7.646;46.709
"Einsiedeln";8840;0;"Einsiedeln";"SZ";8.749;47.128
"Eischoll";3943;0;"Eischoll";"VS";7.781;46.294
"Eison (St-Martin)";1969;5;"Saint-Martin (VS)";"VS";7.470;46.151
"Eisten";3922;2;"Eisten";"VS";7.893;46.199
"Elfingen";5077;0;"Elfingen";"AG";8.103;47.507
"Elgg";8353;0;"Elgg";"ZH";8.863;47.495
"Ellighausen";8566;4;"Kemmental";"TG";9.139;47.612
"Ellikon am Rhein";8464;0;"Marthalen";"ZH";8.598;47.605
"Ellikon an der Thur";8548;0;"Ellikon an der Thur";"ZH";8.825;47.562
"Elm";8767;0;"Glarus Süd";"GL";9.175;46.918
"Elsau";8352;0;"Elsau";"ZH";8.805;47.503
"Embd";3926;0;"Embd";"VS";7.829;46.216
"Embrach";8424;0;"Embrach";"ZH";8.595;47.501
"Emdthal";3711;0;"Aeschi bei Spiez";"BE";7.685;46.654
"Emmen";6032;0;"Emmen";"LU";8.302;47.079
"Emmenbrücke";6020;0;"Emmen";"LU";8.273;47.077
"Emmenmatt";3543;0;"Lauperswil";"BE";7.747;46.948
"Emmetten";6376;0;"Emmetten";"NW";8.523;46.955
"Endingen";5304;0;"Endingen";"AG";8.298;47.537
"Engelberg";6390;0;"Engelberg";"OW";8.403;46.816
"Engelburg";9032;0;"Gaiserwald";"SG";9.344;47.444
"Enges";2073;0;"Enges";"NE";7.012;47.056
"Enggistein";3077;0;"Worb";"BE";7.599;46.932
"Engi";8765;0;"Glarus Süd";"GL";9.151;46.980
"Engishofen";8586;8;"Erlen";"TG";9.249;47.556
"Englisberg";3086;2;"Wald (BE)";"BE";7.468;46.897
"Engollon";2063;2;"Val-de-Ruz";"NE";6.921;47.038
"Engwang";8556;2;"Wigoltingen";"TG";9.053;47.600
"Engwilen";8564;2;"Wäldi";"TG";9.097;47.615
"Ennenda";8755;0;"Glarus";"GL";9.081;47.037
"Ennetaach";8586;9;"Erlen";"TG";9.214;47.551
"Ennetbaden";5408;0;"Ennetbaden";"AG";8.324;47.480
"Ennetbühl";9651;0;"Nesslau";"SG";9.213;47.242
"Ennetbürgen";6373;0;"Ennetbürgen";"NW";8.411;46.988
"Ennetmoos";6372;0;"Ennetmoos";"NW";8.331;46.957
"Enney";1667;0;"Bas-Intyamon";"FR";7.083;46.566
"Entlebuch";6162;0;"Entlebuch";"LU";8.064;46.992
"Epagny";1663;3;"Gruyères";"FR";7.085;46.588
"Epalinges";1066;0;"Epalinges";"VD";6.673;46.546
"Epautheyres";1417;2;"Essertines-sur-Yverdon";"VD";6.643;46.739
"Epauvillers";2885;0;"Clos du Doubs";"JU";7.115;47.335
"Ependes FR";1731;0;"Ependes (FR)";"FR";7.146;46.754
"Ependes VD";1434;0;"Ependes (VD)";"VD";6.608;46.745
"Epesses";1098;0;"Bourg-en-Lavaux";"VD";6.748;46.491
"Epiquerez";2886;0;"Clos du Doubs";"JU";7.057;47.328
"Eppenberg";5012;4;"Eppenberg-Wöschnau";"SO";8.023;47.376
"Epsach";3272;2;"Epsach";"BE";7.221;47.070
"Eptingen";4458;0;"Eptingen";"BL";7.823;47.386
"Erde";1976;0;"Conthey";"VS";7.290;46.239
"Ergisch";3947;0;"Ergisch";"VS";7.713;46.291
"Eriswil";4952;0;"Eriswil";"BE";7.850;47.078
"Eriz";3619;0;"Eriz";"BE";7.773;46.788
"Erlach";3235;0;"Erlach";"BE";7.095;47.042
"Erlen";8586;0;"Erlen";"TG";9.233;47.550
"Erlenbach ZH";8703;0;"Erlenbach (ZH)";"ZH";8.593;47.300
"Erlenbach im Simmental";3762;0;"Erlenbach im Simmental";"BE";7.552;46.661
"Erlinsbach";5018;0;"Erlinsbach (AG)";"AG";8.016;47.404
"Erlinsbach SO";5015;0;"Erlinsbach (SO)";"SO";8.000;47.400
"Ermatingen";8272;0;"Ermatingen";"TG";9.080;47.669
"Ermensee";6294;0;"Ermensee";"LU";8.242;47.227
"Ermenswil";8734;0;"Eschenbach (SG)";"SG";8.889;47.245
"Ernen";3995;0;"Ernen";"VS";8.149;46.398
"Ernetschwil";8725;0;"Gommiswald";"SG";9.002;47.238
"Erschmatt";3957;0;"Leuk";"VS";7.691;46.323
"Erschwil";4228;0;"Erschwil";"SO";7.537;47.373
"Ersigen";3423;0;"Ersigen";"BE";7.592;47.095
"Erstfeld";6472;0;"Erstfeld";"UR";8.654;46.820
"Eschen";9492;0;"Eschen";"LI";9.520;47.208
"Eschenbach LU";6274;0;"Eschenbach (LU)";"LU";8.320;47.132
"Eschenbach SG";8733;0;"Eschenbach (SG)";"SG";8.922;47.243
"Eschenz";8264;0;"Eschenz";"TG";8.875;47.646
"Eschert";2743;0;"Eschert";"BE";7.398;47.275
"Eschikofen";8553;5;"Hüttlingen";"TG";9.004;47.579
"Eschlikon TG";8360;0;"Eschlikon";"TG";8.961;47.465
"Escholzmatt";6182;0;"Escholzmatt-Marbach";"LU";7.940;46.913
"Esmonts";1670;3;"Ursy";"FR";6.844;46.642
"Essert FR";1724;2;"Le Mouret";"FR";7.164;46.738
"Essert-Pittet";1435;0;"Essert-Pittet";"VD";6.583;46.727
"Essert-sous-Champvent";1443;2;"Champvent";"VD";6.584;46.793
"Essertes";1078;0;"Essertes";"VD";6.789;46.562
"Essertines-sur-Rolle";1186;0;"Essertines-sur-Rolle";"VD";6.317;46.493
"Essertines-sur-Yverdon";1417;0;"Essertines-sur-Yverdon";"VD";6.638;46.718
"Esslingen";8133;0;"Egg";"ZH";8.709;47.288
"Estavannens";1665;0;"Bas-Intyamon";"FR";7.101;46.565
"Estavayer-le-Gibloux";1695;3;"Le Glèbe";"FR";7.025;46.722
"Estavayer-le-Lac";1470;0;"Estavayer-le-Lac";"FR";6.847;46.850
"Estévenens";1687;3;"Vuisternens-devant-Romont";"FR";6.956;46.667
"Etagnières";1037;0;"Etagnières";"VD";6.611;46.600
"Etoy";1163;0;"Etoy";"VD";6.420;46.486
"Ettenhausen TG";8356;0;"Aadorf";"TG";8.899;47.476
"Ettingen";4107;0;"Ettingen";"BL";7.551;47.477
"Ettiswil";6218;0;"Ettiswil";"LU";8.014;47.148
"Etzelkofen";3306;0;"Fraubrunnen";"BE";7.480;47.084
"Etzgen";5275;0;"Mettauertal";"AG";8.105;47.573
"Etziken";4554;0;"Etziken";"SO";7.647;47.189
"Etzwilen";8259;2;"Wagenhausen";"TG";8.821;47.659
"Euseigne";1982;0;"Hérémence";"VS";7.420;46.170
"Euthal";8844;0;"Einsiedeln";"SZ";8.816;47.095
"Evilard";2533;0;"Evilard";"BE";7.239;47.149
"Evionnaz";1902;0;"Evionnaz";"VS";7.023;46.178
"Evolène";1983;0;"Evolène";"VS";7.494;46.111
"Eyholz";3930;2;"Visp";"VS";7.911;46.294
"Eysins";1262;0;"Eysins";"VD";6.204;46.379
"Fahrni b. Thun";3617;0;"Fahrni";"BE";7.658;46.798
"Fahrwangen";5615;0;"Fahrwangen";"AG";8.242;47.294
"Fahrweid";8951;0;"Weiningen (ZH)";"ZH";8.418;47.409
"Fahy";2916;0;"Fahy";"JU";6.949;47.417
"Faido";6760;0;"Faido";"TI";8.797;46.478
"Fajauna";7226;2;"Schiers";"GR";9.702;46.970
"Falera";7153;0;"Falera";"GR";9.228;46.804
"Fanas";7215;0;"Grüsch";"GR";9.666;46.984
"Fankhaus (Trub)";3557;0;"Trub";"BE";7.908;46.968
"Faoug";1595;0;"Faoug";"VD";7.077;46.908
"Farden";7433;2;"Donat";"GR";9.424;46.633
"Farnern";4539;2;"Farnern";"BE";7.617;47.266
"Farvagny";1726;0;"Farvagny";"FR";7.066;46.721
"Farvagny-le-Petit";1726;2;"Farvagny";"FR";7.072;46.728
"Faulensee";3705;0;"Spiez";"BE";7.697;46.676
"Fehraltorf";8320;0;"Fehraltorf";"ZH";8.750;47.391
"Fehren";4232;0;"Fehren";"SO";7.577;47.396
"Felben-Wellhausen";8552;0;"Felben-Wellhausen";"TG";8.941;47.575
"Feldbach";8714;0;"Hombrechtikon";"ZH";8.788;47.238
"Feldbrunnen";4532;0;"Feldbrunnen-St. Niklaus";"SO";7.552;47.221
"Feldis/Veulden";7404;0;"Domleschg";"GR";9.432;46.792
"Felsberg";7012;0;"Felsberg";"GR";9.470;46.845
"Fenalet-sur-Bex";1880;3;"Bex";"VD";7.027;46.272
"Fenil-sur-Corsier";1809;0;"Corsier-sur-Vevey";"VD";6.865;46.485
"Fenin";2063;3;"Val-de-Ruz";"NE";6.922;47.024
"Fenkrieden";5645;2;"Sins";"AG";8.370;47.157
"Ferden";3916;0;"Ferden";"VS";7.755;46.395
"Ferenbalm";3206;1;"Ferenbalm";"BE";7.211;46.948
"Ferlens VD";1076;0;"Ferlens (VD)";"VD";6.785;46.589
"Ferpicloz";1724;3;"Ferpicloz";"FR";7.164;46.747
"Ferreyres";1313;0;"Ferreyres";"VD";6.485;46.658
"Fescoggia";6938;1;"Alto Malcantone";"TI";8.877;46.040
"Feuerthalen";8245;0;"Feuerthalen";"ZH";8.641;47.690
"Feusisberg";8835;0;"Feusisberg";"SZ";8.747;47.187
"Feutersoey";3784;0;"Gsteig";"BE";7.270;46.417
"Fex";7514;2;"Sils im Engadin/Segl";"GR";9.763;46.416
"Fey";1044;0;"Fey";"VD";6.681;46.676
"Fey (Nendaz)";1996;1;"Nendaz";"VS";7.272;46.188
"Fiaugères";1609;0;"Saint-Martin (FR)";"FR";6.881;46.593
"Fiaugères";1609;0;"Saint-Martin (FR)";"FR";6.891;46.586
"Fidaz";7019;0;"Flims";"GR";9.312;46.840
"Fideris";7235;0;"Fideris";"GR";9.740;46.914
"Fiesch";3984;0;"Bellwald";"VS";8.162;46.419
"Fiesch";3984;0;"Fiesch";"VS";8.131;46.404
"Fieschertal";3984;2;"Fieschertal";"VS";8.145;46.423
"Fiez";1420;0;"Fiez";"VD";6.623;46.826
"Figino";6918;0;"Lugano";"TI";8.910;45.951
"Filet";3983;3;"Mörel-Filet";"VS";8.053;46.360
"Filisur";7477;0;"Filisur";"GR";9.688;46.674
"Filzbach";8757;0;"Glarus Nord";"GL";9.131;47.122
"Finhaut";1925;0;"Finhaut";"VS";6.974;46.082
"Finsterhennen";2577;2;"Finsterhennen";"BE";7.178;47.026
"Finstersee";6313;3;"Menzingen";"ZG";8.633;47.166
"Finsterwald b. Entlebuch";6162;3;"Entlebuch";"LU";8.102;46.973
"Fionnay";1948;1;"Bagnes";"VS";7.311;46.031
"Fischbach LU";6145;0;"Fischbach";"LU";7.907;47.156
"Fischbach-Göslikon";5525;0;"Fischbach-Göslikon";"AG";8.311;47.369
"Fischenthal";8497;0;"Fischenthal";"ZH";8.919;47.331
"Fischingen";8376;0;"Fischingen";"TG";8.972;47.415
"Fisibach";5467;0;"Fisibach";"AG";8.406;47.562
"Fislisbach";5442;0;"Fislisbach";"AG";8.296;47.439
"Flaach";8416;0;"Flaach";"ZH";8.602;47.573
"Flamatt";3175;0;"Wünnewil-Flamatt";"FR";7.308;46.889
"Flanthey";3978;0;"Lens";"VS";7.453;46.269
"Flawil";9230;0;"Flawil";"SG";9.188;47.411
"Flendruz";1659;2;"Rougemont";"VD";7.182;46.483
"Flerden";7426;0;"Flerden";"GR";9.405;46.703
"Flerden";7426;0;"Flerden";"GR";9.396;46.673
"Fleurier";2114;0;"Val-de-Travers";"NE";6.581;46.901
"Flims Dorf";7017;0;"Flims";"GR";9.285;46.840
"Flims Waldhaus";7018;0;"Flims";"GR";9.285;46.827
"Flond";7137;0;"Mundaun";"GR";9.161;46.767
"Flumenthal";4534;0;"Flumenthal";"SO";7.601;47.235
"Flums";8890;0;"Flums";"SG";9.346;47.092
"Flums Hochwiese";8893;0;"Flums";"SG";9.373;47.083
"Flumserberg Bergheim";8896;0;"Flums";"SG";9.310;47.097
"Flumserberg Portels";8895;0;"Flums";"SG";9.335;47.080
"Flumserberg Saxli";8894;0;"Flums";"SG";9.353;47.075
"Flumserberg Tannenbodenalp";8898;0;"Flums";"SG";9.283;47.092
"Flumserberg Tannenheim";8897;0;"Flums";"SG";9.305;47.086
"Flurlingen";8247;0;"Flurlingen";"ZH";8.627;47.684
"Fläsch";7306;0;"Fläsch";"GR";9.508;47.028
"Flüelen";6454;0;"Flüelen";"UR";8.628;46.905
"Flüeli-Ranft";6073;0;"Sachseln";"OW";8.263;46.872
"Flüh";4112;2;"Hofstetten-Flüh";"SO";7.498;47.483
"Flühli LU";6173;0;"Flühli";"LU";8.019;46.880
"Font";1473;0;"Estavayer-le-Lac";"FR";6.812;46.834
"Fontaine Dessous (Liddes)";1945;3;"Liddes";"VS";7.168;46.010
"Fontaine Dessus (Liddes)";1945;2;"Liddes";"VS";7.174;46.005
"Fontainemelon";2052;0;"Val-de-Ruz";"NE";6.887;47.055
"Fontaines NE";2046;0;"Val-de-Ruz";"NE";6.901;47.043
"Fontaines-sur-Grandson";1421;0;"Fontaines-sur-Grandson";"VD";6.619;46.835
"Fontanezier";1423;2;"Tévenon";"VD";6.653;46.853
"Fontannen b. Wolhusen";6110;2;"Wolhusen";"LU";8.039;47.035
"Fontenais";2902;0;"Fontenais";"JU";7.081;47.403
"Fontnas";9476;2;"Wartau";"SG";9.488;47.090
"Forch";8127;0;"Küsnacht (ZH)";"ZH";8.649;47.322
"Forel (Lavaux)";1072;0;"Forel (Lavaux)";"VD";6.769;46.541
"Forel FR";1475;2;"Vernay";"FR";6.888;46.875
"Forel-sur-Lucens";1526;0;"Forel-sur-Lucens";"VD";6.823;46.729
"Formangueires";1782;6;"La Sonnaz";"FR";7.117;46.827
"Fornet-Dessous";2717;0;"Petit-Val";"BE";7.173;47.280
"Fornet-Dessus";2718;2;"Lajoux (JU)";"JU";7.159;47.279
"Fornex (Liddes)";1945;7;"Liddes";"VS";7.163;46.008
"Forst b. Längenbühl";3636;2;"Forst-Längenbühl";"BE";7.522;46.763
"Fortunau (Ayent)";1966;2;"Ayent";"VS";7.415;46.286
"Founex";1297;0;"Founex";"VD";6.192;46.332
"Frasco";6636;0;"Frasco";"TI";8.802;46.340
"Frasnacht";9320;2;"Arbon";"TG";9.405;47.527
"Frasses";1483;2;"Les Montets";"FR";6.863;46.826
"Fraubrunnen";3312;0;"Fraubrunnen";"BE";7.516;47.084
"Frauenfeld";8500;0;"Frauenfeld";"TG";8.885;47.566
"Frauenkappelen";3202;0;"Frauenkappelen";"BE";7.344;46.954
"Fregiécourt";2953;2;"La Baroche";"JU";7.194;47.413
"Freidorf TG";9306;0;"Roggwil (TG)";"TG";9.393;47.486
"Freienbach";8807;0;"Freienbach";"SZ";8.760;47.205
"Freienstein";8427;2;"Freienstein-Teufen";"ZH";8.590;47.532
"Freienwil";5423;0;"Freienwil";"AG";8.321;47.501
"Freimettigen";3510;8;"Freimettigen";"BE";7.627;46.867
"Frenières-sur-Bex";1880;2;"Bex";"VD";7.071;46.261
"Frenkendorf";4402;0;"Frenkendorf";"BL";7.706;47.501
"Fresens";2027;3;"Fresens";"NE";6.745;46.888
"Fretereules";2149;2;"Brot-Dessous";"NE";6.766;46.962
"Freudwil";8615;2;"Uster";"ZH";8.731;47.376
"Fribourg";1700;0;"Fribourg";"FR";7.162;46.806
"Frick";5070;0;"Frick";"AG";8.026;47.503
"Frieswil";3035;0;"Seedorf (BE)";"BE";7.285;46.994
"Friltschen";9504;0;"Bussnang";"TG";9.086;47.538
"Frinvillier";2535;0;"Sauge";"BE";7.257;47.169
"Froideville";1055;0;"Froideville";"VD";6.680;46.601
"Fruthwilen";8269;0;"Salenstein";"TG";9.064;47.659
"Frutigen";3714;0;"Frutigen";"BE";7.639;46.587
"Fräschels";3284;0;"Fräschels";"FR";7.211;46.995
"Frümsen";9467;0;"Sennwald";"SG";9.472;47.243
"Ftan";7551;0;"Scuol";"GR";10.24;46.796
"Fuldera";7533;0;"Val Müstair";"GR";10.37;46.608
"Fulenbach";4629;0;"Fulenbach";"SO";7.831;47.277
"Full-Reuenthal";5324;0;"Full-Reuenthal";"AG";8.202;47.608
"Fully";1926;0;"Fully";"VS";7.113;46.138
"Furna";7232;0;"Furna";"GR";9.675;46.937
"Fusio";6696;0;"Lavizzara";"TI";8.660;46.445
"Fällanden";8117;0;"Fällanden";"ZH";8.645;47.372
"Féchy";1173;0;"Féchy";"VD";6.369;46.481
"Fétigny";1532;0;"Fétigny";"FR";6.915;46.797
"Füllinsdorf";4414;0;"Füllinsdorf";"BL";7.728;47.511
"Fürigen";6363;1;"Stansstad";"NW";8.351;46.981
"Fürstenau";7414;0;"Fürstenau";"GR";9.448;46.721
"Fürstenaubruck";7413;0;"Fürstenau";"GR";9.450;46.714
"Gabi (Simplon)";3907;3;"Simplon";"VS";8.073;46.183
"Gachnang";8547;0;"Gachnang";"TG";8.858;47.539
"Gadenstätt";7244;0;"Luzein";"GR";9.793;46.944
"Gadmen";3863;0;"Innertkirchen";"BE";8.349;46.738
"Gais";9056;0;"Gais";"AR";9.455;47.362
"Galgenen";8854;2;"Galgenen";"SZ";8.870;47.182
"Galmiz";3285;0;"Galmiz";"FR";7.157;46.950
"Gals";3238;0;"Gals";"BE";7.049;47.027
"Gammen";3206;4;"Ferenbalm";"BE";7.228;46.920
"Gampel";3945;0;"Gampel-Bratsch";"VS";7.737;46.313
"Gampelen";3236;0;"Gampelen";"BE";7.059;47.014
"Gamprin-Bendern";9487;0;"Gamprin";"LI";9.505;47.216
"Gams";9473;0;"Gams";"SG";9.440;47.203
"Gamsen";3900;2;"Brig-Glis";"VS";7.954;46.303
"Gandria";6978;0;"Lugano";"TI";9.001;46.006
"Gansingen";5272;0;"Gansingen";"AG";8.140;47.542
"Ganterschwil";9608;0;"Bütschwil-Ganterschwil";"SG";9.089;47.378
"Gasel";3144;0;"Köniz";"BE";7.400;46.900
"Gattikon";8136;0;"Thalwil";"ZH";8.552;47.282
"Gebenstorf";5412;0;"Gebenstorf";"AG";8.243;47.477
"Gebertingen";8725;2;"Gommiswald";"SG";9.002;47.254
"Geiss";6123;0;"Menznau";"LU";8.056;47.090
"Gelfingen";6284;0;"Hitzkirch";"LU";8.271;47.214
"Gelterfingen";3126;2;"Gelterfingen";"BE";7.515;46.844
"Gelterkinden";4460;0;"Gelterkinden";"BL";7.856;47.459
"Geltwil";5637;2;"Geltwil";"AG";8.326;47.249
"Gempen";4145;0;"Gempen";"SO";7.655;47.475
"Gempenach";3215;0;"Gempenach";"FR";7.197;46.940
"Genestrerio";6852;0;"Mendrisio";"TI";8.962;45.854
"Genolier";1272;0;"Genolier";"VD";6.217;46.434
"Genthod";1294;0;"Genthod";"GE";6.157;46.264
"Gentilino";6925;0;"Collina d'Oro";"TI";8.930;45.991
"Genève";1202;0;"Genève";"GE";6.148;46.201
"Genève";1204;0;"Genève";"GE";6.145;46.202
"Genève";1207;0;"Genève";"GE";6.162;46.207
"Genève";1206;0;"Genève";"GE";6.158;46.187
"Genève";1208;0;"Genève";"GE";6.165;46.199
"Genève";1205;0;"Genève";"GE";6.143;46.195
"Genève";1201;0;"Genève";"GE";6.146;46.210
"Genève";1203;0;"Genève";"GE";6.123;46.208
"Genève";1209;0;"Genève";"GE";6.124;46.221
"Genève";1215;0;"Le Grand-Saconnex";"GE";6.106;46.235
"Gerlafingen";4563;0;"Gerlafingen";"SO";7.571;47.170
"Gerlikon";8500;4;"Frauenfeld";"TG";8.880;47.536
"Geroldswil";8954;0;"Geroldswil";"ZH";8.413;47.422
"Gerolfingen";2575;1;"Täuffelen";"BE";7.201;47.075
"Gerra (Gambarogno)";6576;0;"Gambarogno";"TI";8.786;46.121
"Gerra (Verzasca)";6635;0;"Cugnasco-Gerra";"TI";8.798;46.318
"Gersau";6442;0;"Gersau";"SZ";8.530;46.994
"Gerzensee";3115;0;"Gerzensee";"BE";7.547;46.838
"Geschinen";3985;2;"Münster-Geschinen";"VS";8.282;46.495
"Gettnau";6142;0;"Gettnau";"LU";7.970;47.142
"Geuensee";6232;0;"Geuensee";"LU";8.113;47.200
"Ghirone";6720;2;"Blenio";"TI";8.944;46.560
"Gibswil";8498;0;"Fischenthal";"ZH";8.915;47.314
"Giebenach";4304;0;"Giebenach";"BL";7.739;47.523
"Giez";1429;0;"Giez";"VD";6.616;46.809
"Giffers";1735;0;"Giffers";"FR";7.212;46.762
"Gillarens";1673;2;"Rue";"FR";6.826;46.587
"Gilly";1182;0;"Gilly";"VD";6.300;46.459
"Gimel";1188;0;"Gimel";"VD";6.309;46.508
"Gimmelwald";3826;0;"Lauterbrunnen";"BE";7.893;46.547
"Gingins";1276;0;"Gingins";"VD";6.179;46.409
"Giornico";6745;0;"Giornico";"TI";8.876;46.402
"Gipf-Oberfrick";5073;0;"Gipf-Oberfrick";"AG";7.992;47.496
"Gisikon";6038;0;"Gisikon";"LU";8.403;47.127
"Giswil";6074;0;"Giswil";"OW";8.181;46.836
"Giubiasco";6512;0;"Giubiasco";"TI";9.007;46.174
"Giumaglio";6678;0;"Maggia";"TI";8.682;46.274
"Givisiez";1762;0;"Givisiez";"FR";7.126;46.812
"Givrins";1271;0;"Givrins";"VD";6.202;46.429
"Gland";1196;0;"Gland";"VD";6.265;46.423
"Glarus";8750;0;"Glarus";"GL";9.058;47.041
"Glashütten";4856;0;"Murgenthal";"AG";7.845;47.258
"Glaspass";7428;2;"Tschappina";"GR";9.347;46.677
"Glattbrugg";8152;0;"Opfikon";"ZH";8.561;47.432
"Glattfelden";8192;0;"Glattfelden";"ZH";8.497;47.556
"Glattpark (Opfikon)";8152;2;"Opfikon";"ZH";8.563;47.423
"Gletterens";1544;0;"Gletterens";"FR";6.937;46.895
"Glion";1823;0;"Montreux";"VD";6.926;46.430
"Glis";3902;0;"Brig-Glis";"VS";7.980;46.309
"Glovelier";2855;0;"Haute-Sorne";"JU";7.199;47.331
"Gluringen";3998;1;"Reckingen-Gluringen";"VS";8.231;46.466
"Gnosca";6525;0;"Gnosca";"TI";9.020;46.233
"Gockhausen";8044;1;"Dübendorf";"ZH";8.602;47.383
"Gohl";3553;0;"Langnau im Emmental";"BE";7.808;46.956
"Golaten";3207;2;"Golaten";"BE";7.244;46.985
"Goldach";9403;0;"Goldach";"SG";9.464;47.473
"Goldau";6410;0;"Arth";"SZ";8.555;47.050
"Goldingen";8638;0;"Eschenbach (SG)";"SG";8.963;47.264
"Goldiwil (Thun)";3624;0;"Thun";"BE";7.665;46.761
"Goldswil b. Interlaken";3805;0;"Ringgenberg (BE)";"BE";7.880;46.696
"Golino";6656;0;"Centovalli";"TI";8.714;46.179
"Gollion";1124;0;"Gollion";"VD";6.508;46.585
"Gommiswald";8737;0;"Gommiswald";"SG";9.058;47.246
"Gommiswald";8737;0;"Gommiswald";"SG";9.019;47.231
"Gondiswil";4955;0;"Gondiswil";"BE";7.871;47.146
"Gondo";3907;4;"Zwischbergen";"VS";8.138;46.196
"Gonten";9108;0;"Gonten";"AI";9.346;47.329
"Gontenbad";9108;2;"Gonten";"AI";9.371;47.331
"Gontenschwil";5728;0;"Gontenschwil";"AG";8.149;47.273
"Goppenstein";3917;2;"Ferden";"VS";7.756;46.367
"Goppisberg";3983;4;"Riederalp";"VS";8.049;46.371
"Gordevio";6672;0;"Avegno Gordevio";"TI";8.738;46.225
"Gordola";6596;0;"Gordola";"TI";8.860;46.186
"Gorduno";6518;0;"Gorduno";"TI";9.032;46.217
"Gorgier";2023;0;"Gorgier";"NE";6.780;46.903
"Gossau SG";9200;0;"Gossau (SG)";"SG";9.258;47.414
"Gossau ZH";8625;0;"Gossau (ZH)";"ZH";8.762;47.301
"Gossens";1407;2;"Donneloye";"VD";6.700;46.739
"Gossliwil";4579;0;"Buchegg";"SO";7.431;47.136
"Gottlieben";8274;2;"Gottlieben";"TG";9.133;47.663
"Goumoens-la-Ville";1376;0;"Goumoëns";"VD";6.603;46.658
"Goumoens-le-Jux";1376;3;"Goumoëns";"VD";6.587;46.665
