"TEXT";"CODE";"ZUSATZZIFFER";"GEMEINDE";"KANTON";"E";"N"
"Ambrì";6775;0;"Quinto";"TI";8.698;46.509
"Amden";8873;0;"Amden";"SG";9.144;47.150
"Aminona";3963;4;"Mollens (VS)";"VS";7.525;46.332
"Amlikon-Bissegg";8514;0;"Amlikon-Bissegg";"TG";9.048;47.565
"Ammerswil AG";5600;3;"Ammerswil";"AG";8.209;47.371
"Ammerzwil BE";3257;1;"Grossaffoltern";"BE";7.339;47.070
"Amriswil";8580;0;"Amriswil";"TG";9.297;47.545
"Amsoldingen";3633;0;"Amsoldingen";"BE";7.579;46.727
"Amsteg";6474;0;"Silenen";"UR";8.670;46.774
"Andeer";7440;0;"Andeer";"GR";9.424;46.601
"Andelfingen";8450;0;"Andelfingen";"ZH";8.678;47.594
"Andermatt";6490;0;"Andermatt";"UR";8.597;46.631
"Andhausen";8572;2;"Berg (TG)";"TG";9.179;47.577
"Andiast";7159;0;"Andiast";"GR";9.117;46.784
"Andwil SG";9204;0;"Andwil (SG)";"SG";9.278;47.439
"Andwil TG";8586;2;"Birwinken";"TG";9.212;47.565
"Anglikon";5611;0;"Wohlen (AG)";"AG";8.258;47.365
"Anières";1247;0;"Anières";"GE";6.222;46.276
"Anwil";4469;0;"Anwil";"BL";7.944;47.450
"Anzonico";6748;0;"Faido";"TI";8.862;46.431
"Anzère";1972;0;"Ayent";"VS";7.399;46.298
"Appenzell";9050;0;"Appenzell";"AI";9.403;47.328
"Appenzell Eggerstanden";9050;2;"Rüte";"AI";9.468;47.332
"Appenzell Enggenhütten";9050;3;"Schlatt-Haslen";"AI";9.362;47.353
"Appenzell Meistersrüte";9050;5;"Appenzell";"AI";9.432;47.344
"Appenzell Schlatt";9050;7;"Schlatt-Haslen";"AI";9.396;47.356
"Appenzell Steinegg";9050;6;"Rüte";"AI";9.436;47.322
"Apples";1143;0;"Apples";"VD";6.428;46.552
"Aproz (Nendaz)";1994;2;"Nendaz";"VS";7.312;46.205
"Aquila";6719;0;"Blenio";"TI";8.948;46.503
"Aquila";6719;0;"Blenio";"TI";8.952;46.620
"Aquila";6719;0;"Blenio";"TI";8.963;46.560
"Aran";1091;1;"Bourg-en-Lavaux";"VD";6.710;46.498
"Aranno";6994;0;"Aranno";"TI";8.873;46.017
"Arbaz";1974;0;"Arbaz";"VS";7.383;46.273
"Arbedo";6517;0;"Arbedo-Castione";"TI";9.046;46.213
"Arboldswil";4424;0;"Arboldswil";"BL";7.718;47.416
"Arbon";9320;0;"Arbon";"TG";9.436;47.515
"Arcegno";6618;0;"Losone";"TI";8.742;46.162
"Arcegno";6618;0;"Ronco sopra Ascona";"TI";8.744;46.153
"Arch";3296;0;"Arch";"BE";7.427;47.163
"Arconciel";1732;0;"Arconciel";"FR";7.123;46.746
"Ardez";7546;0;"Scuol";"GR";10.20;46.775
"Ardon";1957;0;"Ardon";"VS";7.252;46.210
"Areuse";2015;0;"Boudry";"NE";6.856;46.953
"Arezen";7104;3;"Safiental";"GR";9.334;46.782
"Argnou (Ayent)";1966;10;"Ayent";"VS";7.399;46.263
"Arisdorf";4422;0;"Arisdorf";"BL";7.769;47.514
"Aristau";5628;0;"Aristau";"AG";8.361;47.286
"Arlesheim";4144;0;"Arlesheim";"BL";7.626;47.495
"Arnegg";9212;0;"Gossau (SG)";"SG";9.254;47.445
"Arnex-sur-Nyon";1277;1;"Arnex-sur-Nyon";"VD";6.191;46.375
"Arnex-sur-Orbe";1321;0;"Arnex-sur-Orbe";"VD";6.519;46.693
"Arni AG";8905;3;"Arni (AG)";"AG";8.424;47.318
"Arni BE";3508;0;"Arni (BE)";"BE";7.668;46.936
"Arogno";6822;0;"Arogno";"TI";8.986;45.960
"Arolla";1986;0;"Evolène";"VS";7.483;46.024
"Arosa";7050;0;"Arosa";"GR";9.672;46.779
"Arosio";6939;2;"Alto Malcantone";"TI";8.900;46.047
"Arth";6415;0;"Arth";"SZ";8.523;47.063
"Arveyes";1884;2;"Ollon";"VD";7.062;46.288
"Arvigo";6543;0;"Calanca";"GR";9.113;46.302
"Arvillard (Salins)";1991;2;"Sion";"VS";7.345;46.211
"Arzier-Le Muids";1273;0;"Arzier-Le Muids";"VD";6.207;46.460
"Arzo";6864;0;"Mendrisio";"TI";8.941;45.876
"Ascharina";7245;0;"St. Antönien";"GR";9.807;46.957
"Ascona";6612;0;"Ascona";"TI";8.769;46.155
