"TEXT"|"CODE"|"ZUSATZZIFFER"|"GEMEINDE"|"KANTON"|"E"|"N"|"ID"|"LONGITUDE"|"LATITUDE"|"BFS_NR"|"AVAM_SUCHREGION"
"Caux"|1824|0|"Montreux"|"VD"|561566|142497|661|6.938586|46.432714|5886|"VD05"
"Cavagnago"|6749|1|"Faido"|"TI"|710916|141259|662|8.881286|46.413508|5081|"TI01"
"Cavardiras"|7182|0|"Disentis/Mustér"|"GR"|710566|174141|663|8.884617|46.709308|3982|"GR13"
"Cavergno"|6690|0|"Cevio"|"TI"|689956|133257|664|8.607161|46.344669|5310|"TI02"
"Caviano"|6578|0|"Gambarogno"|"TI"|702725|107026|665|8.767233|46.106911|5398|"TI02"
"Cavigliano"|6654|0|"Terre di Pedemonte"|"TI"|698859|115637|666|8.719058|46.184939|5396|"TI02"
"Cazis"|7408|0|"Cazis"|"GR"|752454|176453|667|9.432992|46.721842|3661|"GR10"
"Celerina/Schlarigna"|7505|0|"Celerina/Schlarigna"|"GR"|786006|154093|668|9.862614|46.512283|3782|"GR05"
"Cerentino"|6683|0|"Cerentino"|"TI"|685435|128853|669|8.547633|46.305647|5309|"TI02"
"Cerniat FR"|1654|0|"Val-de-Charmey"|"FR"|578416|164638|670|7.156778|46.632636|2163|"FR03"
"Cerniaz VD"|1682|5|"Valbroye"|"VD"|558519|175256|671|6.895997|46.727211|5671|"VD03"
"Cernier"|2053|0|"Val-de-Ruz"|"NE"|559428|212409|672|6.904581|47.061461|6487|"NE01"
"Certara"|6959|2|"Lugano"|"TI"|725371|104931|673|9.059486|46.084242|5192|"TI03"
"Cevio"|6675|0|"Cevio"|"TI"|689586|130115|674|8.601753|46.316458|5310|"TI02"
"Chabrey"|1589|0|"Vully-les-Lacs"|"VD"|565179|197427|675|6.981428|46.927025|5464|"VD03"
"Chailly-Montreux"|1816|0|"Montreux"|"VD"|558001|144934|676|6.891983|46.454422|5886|"VD05"
"Chalais"|3966|0|"Chalais"|"VS"|605088|123758|677|7.504631|46.265225|6232|"VS05"
"Cham"|6330|0|"Cham"|"ZG"|676802|226483|678|8.451950|47.184836|1702|"ZG01"
"Chamblon"|1436|2|"Chamblon"|"VD"|536456|181157|679|6.606575|46.778553|5904|"VD03"
"Chambrelien"|2019|2|"Rochefort"|"NE"|552603|202543|680|6.815775|46.972264|6413|"NE01"
"Chamby"|1832|0|"Montreux"|"VD"|559623|144844|681|6.913103|46.453711|5886|"VD05"
"Chambésy"|1292|0|"Pregny-Chambésy"|"GE"|499821|121985|682|6.139764|46.241839|6634|"GE01"
"Chamoille (Sembrancher)"|1933|3|"Sembrancher"|"VS"|577860|101089|683|7.152542|46.060964|6035|"VS07"
"Chamoson"|1955|0|"Chamoson"|"VS"|583647|116835|684|7.226772|46.202769|6022|"VS06"
"Champ-du-Moulin"|2149|0|"Brot-Dessous"|"NE"|549460|201194|685|6.774625|46.959897|6405|"NE01"
"Champagne"|1424|0|"Champagne"|"VD"|540453|186891|686|6.658161|46.830500|5553|"VD03"
"Champex-Lac"|1938|0|"Orsières"|"VS"|575260|97287|687|7.119144|46.026672|6034|"VS07"
"Champfèr"|7512|0|"Silvaplana"|"GR"|782269|150009|688|9.812333|46.476589|3787|"GR05"
"Champlan (Grimisuat)"|1971|2|"Grimisuat"|"VS"|594871|121617|689|7.372136|46.245967|6263|"VS06"
"Champoussin"|1873|2|"Val-d'Illiez"|"VS"|555665|117702|690|6.864172|46.209308|6157|"VS08"
"Champoz"|2735|3|"Champoz"|"BE"|589152|233887|691|7.295325|47.255803|683|"BE09"
"Champsec"|1947|5|"Bagnes"|"VS"|584817|100527|692|7.242458|46.056100|6031|"VS07"
"Champtauroz"|1537|0|"Champtauroz"|"VD"|550278|178987|693|6.787789|46.760208|5812|"VD03"
"Champvent"|1443|0|"Champvent"|"VD"|534064|181731|694|6.575172|46.783483|5905|"VD03"
"Champzabé"|3976|2|"Chermignon"|"VS"|604578|125278|695|7.498031|46.278903|6248|"VS05"
"Champéry"|1874|0|"Champéry"|"VS"|556109|114250|696|6.870250|46.178286|6151|"VS08"
"Chancy"|1284|0|"Chancy"|"GE"|486640|111974|697|5.971331|46.149708|6611|"GE01"
"Chandolin"|3961|23|"Anniviers"|"VS"|612078|122500|698|7.595264|46.253819|6252|"VS05"
"Chandolin (Savièse)"|1965|7|"Savièse"|"VS"|590762|121928|699|7.318853|46.248719|6265|"VS06"
"Chandon"|1773|2|"Léchelles"|"FR"|570211|187620|700|7.048139|46.839053|2024|"FR01"
"Chandonne (Liddes)"|1945|5|"Liddes"|"VS"|579943|94884|701|7.179722|46.005211|6033|"VS07"
"Chanéaz"|1409|0|"Montanaire"|"VD"|546807|175620|702|6.742750|46.729653|5693|"VD03"
"Chapelle (Broye)"|1534|2|"Cheiry"|"FR"|555159|180045|703|6.851575|46.770072|2009|"FR01"
"Chapelle (Glâne)"|1608|4|"Chapelle (Glâne)"|"FR"|553683|159796|704|6.834294|46.587825|5805|"VD02"
"Chapelle-sur-Moudon"|1063|0|"Montanaire"|"VD"|546144|168984|705|6.734853|46.669908|5693|"VD03"
"Chardonne"|1803|0|"Chardonne"|"VD"|553027|147463|706|6.826989|46.476839|5882|"VD05"
"Charmey (Gruyère)"|1637|0|"Val-de-Charmey"|"FR"|578871|163130|707|7.162789|46.619086|2163|"FR03"
"Charmoille"|2947|0|"La Baroche"|"JU"|582573|252385|708|7.207692|47.422039|6810|"JU02"
"Charrat"|1906|0|"Charrat"|"VS"|576127|108046|709|7.129794|46.123486|6132|"VS07"
"Chaumont"|2067|0|"Neuchâtel"|"NE"|563350|208708|710|6.956503|47.028397|6458|"NE01"
"Chavannes-de-Bogis"|1279|0|"Chavannes-de-Bogis"|"VD"|501745|133354|711|6.162308|46.344381|5705|"VD04"
"Chavannes-des-Bois"|1290|2|"Chavannes-des-Bois"|"VD"|499495|130234|712|6.133758|46.315986|6644|"GE01"
"Chavannes-le-Chêne"|1464|0|"Chavannes-le-Chêne"|"VD"|549479|180845|713|6.777128|46.776861|5908|"VD03"
"Chavannes-le-Veyron"|1148|7|"Chavannes-le-Veyron"|"VD"|524360|162105|714|6.451342|46.605919|5486|"VD02"
"Chavannes-les-Forts"|1676|0|"Siviriez"|"FR"|558591|166867|715|6.897694|46.651753|2099|"FR02"
"Chavannes-près-Renens"|1022|0|"Chavannes-près-Renens"|"VD"|533851|154203|716|6.576344|46.535847|5627|"VD02"
"Chavannes-sous-Orsonnens"|1694|4|"Villorsonnens"|"FR"|565858|175282|717|6.991997|46.727861|2114|"FR02"
"Chavannes-sur-Moudon"|1512|0|"Chavannes-sur-Moudon"|"VD"|551757|167514|718|6.808356|46.657114|5665|"VD03"
"Chavornay"|1373|0|"Chavornay"|"VD"|533609|172615|719|6.570536|46.701442|5749|"VD03"
"Cheiry"|1529|0|"Cheiry"|"FR"|553767|177750|720|6.833583|46.749331|2009|"FR01"
"Chemin"|1927|0|"Vollèges"|"VS"|573594|104304|721|7.097236|46.089731|6036|"VS07"
"Chenaux"|1091|3|"Bourg-en-Lavaux"|"VD"|545502|149519|722|6.728767|46.494764|5613|"VD02"
"Chermignon"|3971|0|"Chermignon"|"VS"|602556|126230|723|7.471803|46.287478|6234|"VS05"
"Chermignon-d'en-Bas"|3971|1|"Chermignon"|"VS"|603380|125546|724|7.482492|46.281322|6234|"VS05"
"Chernex"|1822|0|"Montreux"|"VD"|559654|143607|725|6.913614|46.442586|5886|"VD05"
"Chesalles-sur-Moudon"|1683|2|"Chesalles-sur-Moudon"|"VD"|553654|169507|726|6.832936|46.675175|5666|"VD03"
"Chesalles-sur-Oron"|1608|3|"Oron"|"VD"|555152|158545|727|6.853581|46.576672|5805|"VD02"
"Cheseaux-Noréaz"|1400|5|"Cheseaux-Noréaz"|"VD"|541829|181607|728|6.676869|46.783092|5909|"VD03"
"Cheseaux-sur-Lausanne"|1033|0|"Cheseaux-sur-Lausanne"|"VD"|536110|159629|729|6.605039|46.584875|5582|"VD01"
"Chesières"|1885|0|"Ollon"|"VD"|569557|127837|730|7.043511|46.301250|5409|"VD05"
"Chessel"|1846|0|"Chessel"|"VD"|558095|133279|731|6.894258|46.349586|5403|"VD05"
"Chevenez"|2906|0|"Haute-Ajoie"|"JU"|566980|249085|732|7.001297|47.391761|6809|"JU02"
"Chevilly"|1316|0|"Chevilly"|"VD"|526373|166130|733|6.476969|46.642350|5476|"VD02"
"Chevroux"|1545|0|"Chevroux"|"VD"|559500|193076|734|6.907250|46.887564|5813|"VD03"
"Chexbres"|1071|0|"Chexbres"|"VD"|549233|148096|735|6.777519|46.482258|5610|"VD02"
"Cheyres"|1468|0|"Cheyres"|"FR"|550278|184995|736|6.787136|46.814250|2010|"FR01"
"Chez Petit (Liddes)"|1945|11|"Liddes"|"VS"|579741|92914|737|7.177200|45.987486|6033|"VS07"
"Chez-le-Bart"|2025|0|"Gorgier"|"NE"|550259|194665|738|6.785833|46.901231|6410|"NE01"
"Chiasso"|6830|0|"Chiasso"|"TI"|723409|76987|739|9.026819|45.833289|5250|"TI04"
"Chiggiogna"|6764|0|"Faido"|"TI"|706279|147187|740|8.822347|46.467575|5072|"TI01"
"Chiggiogna"|6764|0|"Faido"|"TI"|707096|144673|741|8.832400|46.444833|5072|"TI01"
"Chigny"|1134|2|"Chigny"|"VD"|526212|152540|742|6.477042|46.520092|5653|"VD02"
"Chippis"|3965|0|"Chippis"|"VS"|607831|125466|743|7.540239|46.280564|6235|"VS05"
"Chironico"|6747|0|"Faido"|"TI"|708016|142273|744|8.843811|46.423100|5072|"TI01"
"Choulex"|1244|0|"Choulex"|"GE"|506493|120355|745|6.226581|46.228139|6614|"GE01"
"Choëx"|1871|0|"Monthey"|"VS"|563160|121462|746|6.960989|46.243583|6153|"VS08"
"Chur"|7000|0|"Chur"|"GR"|759706|190691|747|9.532789|46.848175|3901|"GR01"
"Churwalden"|7075|0|"Churwalden"|"GR"|760298|182988|748|9.537844|46.778767|3911|"GR01"
"Châbles FR"|1474|0|"Châbles"|"FR"|551991|186310|749|6.809444|46.826206|2005|"FR01"
"Château-d'Oex"|1660|0|"Château-d'Oex"|"VD"|576252|146872|750|7.129433|46.472750|5841|"VD05"
"Châtel-St-Denis"|1618|0|"Châtel-Saint-Denis"|"FR"|558756|153197|751|6.901072|46.528797|2325|"FR07"
"Châtel-sur-Montsalvens"|1653|3|"Châtel-sur-Montsalvens"|"FR"|576083|162531|752|7.126422|46.613606|2130|"FR03"
"Châtelaine"|1219|12|"Vernier"|"GE"|497509|118715|753|6.110511|46.212081|6643|"GE01"
"Châtelat"|2715|1|"Petit-Val"|"BE"|581521|235713|754|7.194436|47.272058|716|"BE09"
"Châtillens"|1610|1|"Oron"|"VD"|552336|157588|755|6.816947|46.567869|5805|"VD02"
"Châtillon FR"|1473|2|"Châtillon (FR)"|"FR"|553389|187064|756|6.827686|46.833086|2015|"FR01"
"Châtillon JU"|2843|0|"Châtillon (JU)"|"JU"|592910|241729|757|7.344847|47.326389|6704|"JU01"
"Châtonnaye"|1553|0|"Châtonnaye"|"FR"|561769|178224|758|6.938264|46.754103|2068|"FR02"
"Chénens"|1744|0|"Chénens"|"FR"|566665|176591|759|7.002461|46.739675|2177|"FR04"
"Chéserex"|1275|0|"Chéserex"|"VD"|502827|139602|760|6.175053|46.400736|5709|"VD04"
"Chésopelloz"|1720|2|"Chésopelloz"|"FR"|572490|184060|761|7.078228|46.807128|2179|"FR04"
"Chézard-St-Martin"|2054|0|"Val-de-Ruz"|"NE"|561605|212953|762|6.933189|47.066483|6487|"NE01"
"Chêne-Bougeries"|1224|0|"Chêne-Bougeries"|"GE"|503509|117024|763|6.188597|46.197758|6612|"GE01"
"Chêne-Bougeries"|1224|0|"Thônex"|"GE"|504909|118165|764|6.206497|46.208219|6612|"GE01"
"Chêne-Bourg"|1225|0|"Chêne-Bourg"|"GE"|503757|116573|765|6.191900|46.193736|6613|"GE01"
"Chêne-Pâquier"|1464|2|"Chêne-Pâquier"|"VD"|548838|180236|766|6.768803|46.771333|5908|"VD03"
"Cimadera"|6959|4|"Lugano"|"TI"|724372|104161|767|9.046369|46.077500|5192|"TI03"
"Cimalmotto"|6684|1|"Campo (Vallemaggia)"|"TI"|680954|126314|768|8.489033|46.283364|5307|"TI02"
"Cimo"|6992|1|"Bioggio"|"TI"|712419|95547|769|8.889836|46.002125|5151|"TI03"
"Cinuos-chel"|7526|0|"S-chanf"|"GR"|797654|168926|770|10.020664|46.642303|3788|"GR05"
"Clarens"|1815|0|"Montreux"|"VD"|558030|143556|771|6.892486|46.442028|5886|"VD05"
"Clarmont"|1127|0|"Clarmont"|"VD"|524197|155586|772|6.450286|46.547264|5629|"VD02"
"Claro"|6702|0|"Claro"|"TI"|722138|124024|773|9.022683|46.256550|5282|"TI01"
"Clavaleyres"|1595|2|"Clavaleyres"|"BE"|573530|194320|774|7.091258|46.899461|661|"BE01"
"Clugin"|7442|0|"Andeer"|"GR"|752163|164709|775|9.425294|46.616297|3701|"GR08"
"Clèbes (Nendaz)"|1993|2|"Nendaz"|"VS"|592018|114919|776|7.335258|46.185686|6267|"VS06"
"Coeuve"|2932|0|"Coeuve"|"JU"|574178|256028|777|7.096231|47.454528|6781|"JU02"
"Coffrane"|2207|0|"Val-de-Ruz"|"NE"|556198|206738|778|6.862611|47.010244|6487|"NE01"
"Coglio"|6678|3|"Maggia"|"TI"|696015|124943|779|8.684142|46.269053|5317|"TI02"
"Coinsins"|1267|2|"Coinsins"|"VD"|507813|142068|780|6.239386|46.423619|5710|"VD04"
"Cointrin"|1216|0|"Meyrin"|"GE"|497499|120066|781|6.110083|46.224231|6630|"GE01"
"Coldrerio"|6877|0|"Coldrerio"|"TI"|720184|79171|782|8.985881|45.853511|5251|"TI04"
"Colla"|6951|18|"Lugano"|"TI"|724918|105886|783|9.053886|46.092914|5226|"TI03"
"Collex"|1239|0|"Collex-Bossy"|"GE"|498413|125219|784|6.120808|46.270717|6615|"GE01"
"Collombey"|1868|0|"Collombey-Muraz"|"VS"|562048|124182|785|6.946350|46.267989|6152|"VS08"
"Collonge-Bellerive"|1245|0|"Collonge-Bellerive"|"GE"|504798|123222|786|6.204028|46.253689|6616|"GE01"
"Collonges"|1903|0|"Collonges"|"VS"|568744|113431|787|7.033925|46.171622|6211|"VS07"
"Cologny"|1223|0|"Cologny"|"GE"|502971|119091|788|6.181197|46.216272|6617|"GE01"
"Colombier NE"|2013|0|"Milvignes"|"NE"|556118|201858|789|6.862031|46.966344|6416|"NE01"
"Colombier VD"|1114|0|"Echichens"|"VD"|526146|156596|790|6.475533|46.556567|5634|"VD02"
"Comano"|6949|0|"Comano"|"TI"|717558|99905|791|8.957247|46.040444|5176|"TI03"
"Combremont-le-Grand"|1535|0|"Valbroye"|"VD"|552604|179160|792|6.818217|46.761933|5831|"VD03"
"Combremont-le-Petit"|1536|0|"Valbroye"|"VD"|551903|177778|793|6.809186|46.749453|5831|"VD03"
"Commugny"|1291|0|"Commugny"|"VD"|503094|130642|794|6.180392|46.320183|5711|"VD04"
"Comologno"|6663|0|"Onsernone"|"TI"|687809|117527|795|8.576314|46.203469|5136|"TI02"
"Conches"|1231|0|"Chêne-Bougeries"|"GE"|502559|115554|796|6.176597|46.184397|6612|"GE01"
"Concise"|1426|0|"Concise"|"VD"|545205|189004|797|6.720189|46.849914|5555|"VD03"
"Condémines (Nendaz)"|1996|3|"Nendaz"|"VS"|585847|113797|798|7.255367|46.175492|6024|"VS06"
"Confignon"|1232|0|"Confignon"|"GE"|495427|114516|799|6.084475|46.173994|6618|"GE01"
"Constantine"|1587|1|"Vully-les-Lacs"|"VD"|567510|196501|800|7.012100|46.918814|5464|"VD03"
"Conters im Prättigau"|7241|0|"Conters im Prättigau"|"GR"|779561|197224|801|9.795564|46.901853|3881|"GR03"
"Conthey"|1964|0|"Conthey"|"VS"|589680|119554|802|7.304875|46.227350|6023|"VS06"
"Contone"|6594|0|"Gambarogno"|"TI"|714899|111962|803|8.925858|46.149342|5398|"TI02"
"Contra"|6646|0|"Tenero-Contra"|"TI"|708152|116177|804|8.839519|46.188367|5131|"TI02"
"Coppet"|1296|0|"Coppet"|"VD"|504064|130149|805|6.193086|46.315889|5712|"VD04"
"Corban"|2826|0|"Corban"|"JU"|602978|244139|806|7.478047|47.348097|6705|"JU01"
"Corbeyrier"|1856|0|"Corbeyrier"|"VD"|563346|133318|807|6.962469|46.350244|5404|"VD05"
"Corbières"|1647|0|"Corbières"|"FR"|574167|167849|808|7.101111|46.661369|2129|"FR03"
"Corcelles BE"|2747|0|"Corcelles (BE)"|"BE"|601652|237119|809|7.460475|47.284961|709|"BE09"
"Corcelles NE"|2035|0|"Corcelles-Cormondrèche"|"NE"|557264|203991|810|6.876889|46.985606|6407|"NE01"
"Corcelles-le-Jorat"|1082|0|"Corcelles-le-Jorat"|"VD"|546592|161929|811|6.741528|46.606483|5785|"VD02"
"Corcelles-près-Concise"|1426|1|"Corcelles-près-Concise"|"VD"|544235|188701|812|6.707508|46.847108|5555|"VD03"
"Corcelles-près-Payerne"|1562|0|"Corcelles-près-Payerne"|"VD"|563575|186833|813|6.961214|46.831644|5816|"VD03"
"Corcelles-sur-Chavornay"|1374|0|"Corcelles-sur-Chavornay"|"VD"|535869|172848|814|6.600053|46.703758|5751|"VD03"
"Cordast"|1792|0|"Gurmels"|"FR"|578238|191226|815|7.153192|46.871800|2262|"FR05"
"Corgémont"|2606|0|"Corgémont"|"BE"|577433|227076|816|7.140847|47.194244|431|"BE09"
"Corin-de-la-Crête"|3960|2|"Montana"|"VS"|604947|125903|817|7.502825|46.284522|6243|"VS05"
"Corippo"|6631|0|"Corippo"|"TI"|708166|121448|818|8.840919|46.235772|5102|"TI02"
"Corjolens"|1754|2|"Avry"|"FR"|569983|181683|819|7.045542|46.785639|2174|"FR04"
"Cormagens"|1782|5|"La Sonnaz"|"FR"|576842|187074|820|7.135092|46.834406|2235|"FR04"
"Corminboeuf"|1720|0|"Corminboeuf"|"FR"|574330|184181|821|7.102328|46.808289|2179|"FR04"
"Cormondrèche"|2036|0|"Corcelles-Cormondrèche"|"NE"|556717|203439|822|6.869753|46.980606|6407|"NE01"
"Cormoret"|2612|0|"Cormoret"|"BE"|570847|224731|823|7.054092|47.172894|432|"BE09"
"Cormérod"|1721|2|"Misery-Courtion"|"FR"|573307|190558|824|7.088553|46.865611|2272|"FR05"
"Cornaux NE"|2087|0|"Cornaux"|"NE"|568258|209741|825|7.020994|47.037942|6451|"NE01"
"Cornol"|2952|0|"Cornol"|"JU"|579258|250601|826|7.163844|47.405897|6782|"JU02"
"Corpataux-Magnedens"|1727|0|"Corpataux-Magnedens"|"FR"|573961|177060|827|7.097897|46.744219|2184|"FR04"
"Correvon"|1410|2|"Montanaire"|"VD"|546371|174094|828|6.737222|46.715892|2038|"FR01"
"Corseaux"|1802|0|"Corseaux"|"VD"|553470|146956|829|6.832808|46.472311|5883|"VD05"
"Corserey"|1747|0|"Corserey"|"FR"|565957|180360|830|6.992917|46.773544|2185|"FR04"
"Corsier GE"|1246|0|"Corsier (GE)"|"GE"|506523|124175|831|6.226206|46.262503|6619|"GE01"
"Corsier-sur-Vevey"|1804|0|"Corsier-sur-Vevey"|"VD"|554151|146716|832|6.841697|46.470197|5884|"VD05"
"Cortaillod"|2016|0|"Cortaillod"|"NE"|554904|199264|833|6.846336|46.942931|6408|"NE01"
"Corteglia"|6873|0|"Castel San Pietro"|"TI"|720778|80068|834|8.993756|45.861472|5249|"TI04"
"Corticiasca"|6958|2|"Capriasca"|"TI"|721833|104341|835|9.013606|46.079583|5226|"TI03"
"Corticiasca"|6958|2|"Capriasca"|"TI"|722032|105172|836|9.016394|46.087019|5226|"TI03"
"Cortébert"|2607|0|"Cortébert"|"BE"|574842|226791|837|7.106675|47.191586|433|"BE09"
"Corzoneso"|6722|0|"Acquarossa"|"TI"|714917|144957|838|8.934231|46.446094|5048|"TI01"
"Cossonay-Ville"|1304|0|"Cossonay"|"VD"|528822|162973|839|6.509442|46.614217|5477|"VD02"
"Cottens FR"|1741|0|"Cottens (FR)"|"FR"|569006|177796|840|7.033008|46.750628|2186|"FR04"
"Cottens VD"|1116|0|"Cottens (VD)"|"VD"|524553|158398|841|6.454467|46.572597|5478|"VD02"
"Cotterd"|1585|3|"Vully-les-Lacs"|"VD"|568553|196806|842|7.025772|46.921606|5464|"VD03"
"Courcelon"|2823|0|"Courroux"|"JU"|596831|245677|843|7.396689|47.361928|6709|"JU01"
"Courchapoix"|2825|0|"Courchapoix"|"JU"|600967|244054|844|7.451433|47.347339|6706|"JU01"
"Courchavon"|2922|0|"Courchavon"|"JU"|571056|254530|845|7.054928|47.440925|6783|"JU02"
"Courfaivre"|2853|0|"Haute-Sorne"|"JU"|587730|242423|846|7.276306|47.332556|6729|"JU01"
"Courgenay"|2950|0|"Courgenay"|"JU"|576418|250299|847|7.126236|47.403086|6784|"JU02"
"Courgevaux"|1796|0|"Courgevaux"|"FR"|575117|195188|848|7.112039|46.907331|2250|"FR05"
"Courlevon"|1795|0|"Courlevon"|"FR"|575036|193396|849|7.111072|46.891208|2251|"FR05"
"Cournillens"|1721|5|"Misery-Courtion"|"FR"|574315|189636|850|7.101825|46.857358|2272|"FR05"
"Courrendlin"|2830|0|"Courrendlin"|"JU"|595514|243057|851|7.379281|47.338356|6708|"JU01"
"Courroux"|2822|0|"Courroux"|"JU"|595224|246036|852|7.375411|47.365147|6709|"JU01"
"Court"|2738|0|"Court"|"BE"|591942|232121|853|7.332214|47.239958|690|"BE09"
"Courtaman"|1791|0|"Courtepin"|"FR"|576500|191122|854|7.130400|46.870806|2254|"FR05"
"Courtedoux"|2905|0|"Courtedoux"|"JU"|570105|250952|855|7.042561|47.408703|6785|"JU02"
"Courtelary"|2608|0|"Courtelary"|"BE"|571999|225537|856|7.069239|47.180194|434|"BE09"
"Courtemautruy"|2950|2|"Courgenay"|"JU"|577358|249479|857|7.138728|47.395744|6784|"JU02"
"Courtemaîche"|2923|0|"Basse-Allaine"|"JU"|570363|256509|858|7.045611|47.458694|6807|"JU02"
"Courtepin"|1784|0|"Courtepin"|"FR"|576168|190333|859|7.126086|46.863697|2254|"FR05"
"Courtion"|1721|4|"Misery-Courtion"|"FR"|571838|189696|860|7.069339|46.857797|2272|"FR05"
"Courtételle"|2852|0|"Courtételle"|"JU"|591288|242933|861|7.323367|47.337197|6710|"JU01"
"Cousset"|1774|0|"Montagny (FR)"|"FR"|564662|185421|862|6.975569|46.819000|2029|"FR01"
"Cousset"|1774|0|"Montagny (FR)"|"FR"|564342|186283|863|6.971311|46.826739|2029|"FR01"
"Couvet"|2108|0|"Val-de-Travers"|"NE"|538608|197417|864|6.632564|46.925011|6512|"NE02"
"Cozzo"|6951|20|"Lugano"|"TI"|725534|106373|865|9.061978|46.097181|5226|"TI03"
"Crana"|6611|17|"Onsernone"|"TI"|690529|117579|866|8.611561|46.203578|5136|"TI02"
"Crans-Montana"|3963|0|"Montana"|"VS"|603316|129037|867|7.481686|46.312725|6243|"VS05"
"Crans-près-Céligny"|1299|0|"Bogis-Bossey"|"VD"|503402|133775|868|6.183739|46.348408|5713|"VD04"
"Crans-près-Céligny"|1299|0|"Crans-près-Céligny"|"VD"|505157|134581|869|6.206372|46.355908|5713|"VD04"
"Crassier"|1263|0|"Crassier"|"VD"|501913|136676|870|6.163789|46.374283|5714|"VD04"
"Cremin"|1526|2|"Cremin"|"VD"|554427|174945|871|6.842500|46.724144|5668|"VD03"
"Cresciano"|6705|0|"Cresciano"|"TI"|720682|126689|872|9.004494|46.280781|5283|"TI01"
"Cressier FR"|1785|0|"Cressier (FR)"|"FR"|577261|194162|873|7.140231|46.898178|2257|"FR05"
"Cressier NE"|2088|0|"Cressier (NE)"|"NE"|569383|211185|874|7.035700|47.050983|6452|"NE01"
"Cresta (Avers)"|7447|0|"Avers"|"GR"|759371|148978|875|9.513928|46.473158|3681|"GR08"
"Cries (Vollèges)"|1941|2|"Vollèges"|"VS"|579768|104464|876|7.177053|46.091383|6036|"VS07"
"Crissier"|1023|0|"Crissier"|"VD"|534061|156460|877|6.578761|46.556169|5583|"VD01"
"Cronay"|1406|0|"Cronay"|"VD"|543292|178708|878|6.696386|46.757142|5910|"VD03"
"Croy"|1322|0|"Croy"|"VD"|526426|171908|879|6.476736|46.694328|5752|"VD03"
"Crusch"|7554|2|"Scuol"|"GR"|822906|189609|880|10.360319|46.820275|3762|"GR04"
"Crémines"|2746|0|"Crémines"|"BE"|600235|237199|881|7.441744|47.285681|691|"BE09"
"Crésuz"|1653|2|"Crésuz"|"FR"|577197|163074|882|7.140936|46.618528|2130|"FR03"
"Crête-à-l'Oeil (Les Agettes)"|1992|3|"Les Agettes"|"VS"|594816|117839|883|7.371464|46.211981|6081|"VS06"
"Cuarnens"|1148|4|"Cuarnens"|"VD"|523393|164270|884|6.438361|46.625283|5486|"VD02"
"Cuarny"|1404|0|"Cuarny"|"VD"|542728|180152|885|6.688822|46.770081|5935|"VD03"
"Cudrefin"|1588|0|"Cudrefin"|"VD"|568106|200552|886|7.019642|46.955281|5456|"VD03"
"Cugnasco"|6516|0|"Cugnasco-Gerra"|"TI"|714300|114764|887|8.918789|46.174644|5138|"TI02"
"Cugy FR"|1482|0|"Cugy (FR)"|"FR"|558365|185003|888|6.893094|46.814878|2011|"FR01"
"Cugy VD"|1053|0|"Cugy (VD)"|"VD"|538878|159530|889|6.641164|46.584244|5516|"VD02"
"Cully"|1096|0|"Bourg-en-Lavaux"|"VD"|545545|148848|890|6.729406|46.488733|5613|"VD02"
"Cumbel"|7142|0|"Lumnezia"|"GR"|734018|176289|891|9.191856|46.724325|3618|"GR12"
"Cumpadials"|7176|0|"Sumvitg"|"GR"|713264|175590|892|8.920250|46.721886|3985|"GR13"
"Cunter"|7452|0|"Cunter"|"GR"|765235|164244|893|9.595714|46.609011|3532|"GR07"
"Curaglia"|7184|0|"Medel (Lucmagn)"|"GR"|708657|170133|894|8.858708|46.673572|3983|"GR13"
"Cureggia"|6963|2|"Lugano"|"TI"|719713|97761|895|8.984531|46.020783|5192|"TI03"
"Cureglia"|6944|0|"Cureglia"|"TI"|716512|99387|896|8.943608|46.035967|5180|"TI03"
"Curio"|6986|3|"Curio"|"TI"|710339|95464|897|8.862972|46.001719|5181|"TI03"
"Curtilles"|1521|0|"Curtilles"|"VD"|554799|172556|898|6.847600|46.702681|5669|"VD03"
"Curtina"|6959|3|"Lugano"|"TI"|722606|104598|899|9.023661|46.081753|5192|"TI03"
"Céligny"|1298|0|"Céligny"|"GE"|502588|133711|900|6.173181|46.347714|6610|"GE01"
"Céligny"|1298|0|"Céligny"|"GE"|504279|133966|901|6.195092|46.350250|6610|"GE01"
"Dachsen"|8447|0|"Dachsen"|"ZH"|688664|280012|902|8.619053|47.664744|25|"ZH08"
"Dagmersellen"|6252|0|"Dagmersellen"|"LU"|641792|229396|903|7.990325|47.214175|1125|"LU03"
"Daillens"|1306|0|"Daillens"|"VD"|531843|163637|904|6.548778|46.620506|5480|"VD02"
"Daillon"|1976|2|"Conthey"|"VS"|589474|122894|905|7.302128|46.257392|6023|"VS06"
"Daiwil"|6126|0|"Willisau"|"LU"|643664|216246|906|8.013764|47.095775|1151|"LU03"
"Dalin"|7424|1|"Cazis"|"GR"|750364|177852|907|9.406122|46.734897|3661|"GR10"
"Dallenwil"|6383|0|"Dallenwil"|"NW"|672130|197717|908|8.385733|46.926631|1503|"NW01"
"Dalpe"|6774|0|"Dalpe"|"TI"|702639|147729|909|8.775086|46.473019|5071|"TI01"
"Damphreux"|2933|2|"Damphreux"|"JU"|574655|258508|910|7.102414|47.476853|6793|"JU02"
