"TEXT"|"CODE"|"ZUSATZZIFFER"|"GEMEINDE"|"KANTON"|"E"|"N"|"ID"|"LONGITUDE"|"LATITUDE"|"BFS_NR"|"AVAM_SUCHREGION"
"Albligen"|3183|0|"Schwarzenburg"|"BE"|590638|188902|56|7.315886|46.851186|855|"BE01"
"Alchenflüh"|3422|2|"Rüdtligen-Alchenflüh"|"BE"|610538|214551|57|7.577403|47.081886|412|"BE06"
"Alchenstorf"|3473|0|"Alchenstorf"|"BE"|615228|219502|58|7.639328|47.126328|402|"BE06"
"Aldesago"|6974|0|"Lugano"|"TI"|719302|96414|59|8.978883|46.008742|5192|"TI03"
"Algetshausen"|9249|0|"Uzwil"|"SG"|725748|256335|60|9.105950|47.445783|3408|"SG08"
"Alikon"|5643|2|"Sins"|"AG"|670054|228021|61|8.363164|47.199419|4239|"AG07"
"Allaman"|1165|0|"Allaman"|"VD"|519868|147146|62|6.395311|46.470844|5851|"VD04"
"Alle"|2942|0|"Alle"|"JU"|576618|252986|63|7.128744|47.427261|6771|"JU02"
"Allens"|1304|3|"Cossonay"|"VD"|528832|161406|64|6.509814|46.600125|5477|"VD02"
"Allenwinden"|6319|0|"Baar"|"ZG"|684338|224329|65|8.550964|47.164544|1701|"ZG01"
"Allerheiligenberg"|4615|0|"Hägendorf"|"SO"|628428|244699|66|7.814881|47.352528|2579|"SO03"
"Allmendingen b. Bern"|3112|0|"Allmendingen"|"BE"|606513|195968|67|7.524133|46.914781|630|"BE01"
"Allschwil"|4123|0|"Allschwil"|"BL"|607303|266660|68|7.535653|47.550617|2762|"BL01"
"Almens"|7416|0|"Domleschg"|"GR"|754407|178307|69|9.459153|46.738064|3673|"GR10"
"Alosen"|6315|2|"Oberägeri"|"ZG"|691060|222007|70|8.639136|47.142769|1706|"ZG01"
"Alp Grüm"|7710|2|"Poschiavo"|"GR"|799569|139232|71|10.032831|46.374764|3561|"GR06"
"Alpnach Dorf"|6055|0|"Alpnach"|"OW"|662895|198961|72|8.264656|46.938758|1401|"OW01"
"Alpnachstad"|6053|0|"Alpnach"|"OW"|663850|200536|73|8.277419|46.952833|1401|"OW01"
"Alpthal"|8849|0|"Alpthal"|"SZ"|697032|214091|74|8.716158|47.070728|1361|"SZ01"
"Alt St. Johann"|9656|0|"Wildhaus-Alt St. Johann"|"SG"|739598|228557|75|9.280881|47.193214|3359|"SG07"
"Altbüron"|6147|0|"Altbüron"|"LU"|633639|225535|76|7.882414|47.179914|1122|"LU03"
"Altdorf SH"|8243|0|"Thayngen"|"SH"|691425|293327|77|8.658558|47.784094|2920|"SH01"
"Altdorf UR"|6460|0|"Altdorf (UR)"|"UR"|691110|193201|78|8.634011|46.883681|1201|"UR01"
"Alten"|8453|0|"Kleinandelfingen"|"ZH"|690908|272782|79|8.647442|47.599422|33|"ZH08"
"Altendorf"|8852|0|"Altendorf"|"SZ"|705505|227714|80|8.830872|47.191950|1341|"SZ01"
"Altenrhein"|9423|0|"Thal"|"SG"|759206|262159|81|9.551469|47.490903|3237|"SG02"
"Alterswil FR"|1715|0|"Alterswil"|"FR"|586936|182691|82|7.267525|46.795253|2291|"FR06"
"Alterswilen"|8573|2|"Kemmental"|"TG"|728826|274813|83|9.152094|47.611336|4666|"TG05"
"Altikon"|8479|0|"Altikon"|"ZH"|701260|270261|84|8.784492|47.575236|211|"ZH09"
"Altishausen"|8573|3|"Kemmental"|"TG"|730228|273489|85|9.170350|47.599156|4666|"TG05"
"Altishofen"|6246|0|"Altishofen"|"LU"|639531|227980|86|7.960356|47.201578|1123|"LU03"
"Altnau"|8595|0|"Altnau"|"TG"|736770|274624|87|9.257661|47.608031|4641|"TG05"
"Altstätten SG"|9450|0|"Altstätten"|"SG"|758789|249594|88|9.541469|47.378033|3251|"SG03"
"Altwis"|6286|0|"Altwis"|"LU"|661269|232265|89|8.247811|47.238461|1022|"LU05"
"Alvaneu Bad"|7473|0|"Albula/Alvra"|"GR"|768668|170872|90|9.642939|46.667753|3542|"GR07"
"Alvaneu Dorf"|7492|0|"Albula/Alvra"|"GR"|768893|172397|91|9.646439|46.681408|3542|"GR07"
"Alvaschein"|7451|0|"Albula/Alvra"|"GR"|761779|171516|92|9.553181|46.675250|3542|"GR07"
"Am Bach (Avers)"|7447|1|"Avers"|"GR"|761889|146738|93|9.545917|46.452411|3681|"GR08"
"Ambrì"|6775|0|"Quinto"|"TI"|696667|151632|94|8.698153|46.509011|5079|"TI01"
"Amden"|8873|0|"Amden"|"SG"|729399|223608|95|9.144911|47.150783|3311|"SG06"
"Aminona"|3963|4|"Mollens (VS)"|"VS"|607058|131290|96|7.530297|46.332964|6243|"VS05"
"Amlikon-Bissegg"|8514|0|"Amlikon-Bissegg"|"TG"|721147|269599|97|9.048567|47.565917|4881|"TG08"
"Ammerswil AG"|5600|3|"Ammerswil"|"AG"|658200|247006|98|8.209194|47.371319|4191|"AG05"
"Ammerzwil BE"|3257|1|"Grossaffoltern"|"BE"|592483|213224|99|7.339675|47.069989|303|"BE08"
"Amriswil"|8580|0|"Amriswil"|"TG"|739929|267686|100|9.297478|47.544983|4416|"TG01"
"Amsoldingen"|3633|0|"Amsoldingen"|"BE"|610744|175115|101|7.579186|46.727144|921|"BE03"
"Amsteg"|6474|0|"Silenen"|"UR"|694091|181109|102|8.670625|46.774508|1216|"UR01"
"Andeer"|7440|0|"Andeer"|"GR"|752165|163083|103|9.424783|46.601675|3701|"GR08"
"Andelfingen"|8450|0|"Andelfingen"|"ZH"|693252|272314|104|8.678506|47.594886|30|"ZH08"
"Andermatt"|6490|0|"Andermatt"|"UR"|688731|165165|105|8.597372|46.631833|1202|"UR01"
"Andhausen"|8572|2|"Berg (TG)"|"TG"|730958|271102|106|9.179350|47.577547|4891|"TG08"
"Andiast"|7159|0|"Andiast"|"GR"|728164|182889|107|9.117144|46.784833|3611|"GR12"
"Andwil SG"|9204|0|"Andwil (SG)"|"SG"|738803|255941|108|9.278867|47.439617|3441|"SG01"
"Andwil TG"|8586|2|"Birwinken"|"TG"|733512|269787|109|9.212892|47.565211|4476|"TG02"
"Anglikon"|5611|0|"Wohlen (AG)"|"AG"|661956|246383|110|8.258833|47.365375|4082|"AG10"
"Anières"|1247|0|"Anières"|"GE"|506292|125705|111|6.222903|46.276231|6602|"GE01"
"Anwil"|4469|0|"Anwil"|"BL"|638149|255650|112|7.944469|47.450531|2841|"BL03"
"Anzonico"|6748|0|"Faido"|"TI"|709456|143245|113|8.862769|46.431608|5072|"TI01"
"Anzère"|1972|0|"Ayent"|"VS"|596987|127484|114|7.399533|46.298756|6082|"VS06"
"Appenzell"|9050|0|"Appenzell"|"AI"|748475|243835|115|9.403031|47.328656|3101|"AI01"
"Appenzell Eggerstanden"|9050|2|"Rüte"|"AI"|753420|244342|116|9.468600|47.332083|3101|"AI01"
"Appenzell Enggenhütten"|9050|3|"Schlatt-Haslen"|"AI"|745330|246471|117|9.362292|47.353058|3101|"AI01"
"Appenzell Meistersrüte"|9050|5|"Appenzell"|"AI"|750650|245666|118|9.432411|47.344625|3101|"AI01"
"Appenzell Schlatt"|9050|7|"Schlatt-Haslen"|"AI"|747898|246888|119|9.396406|47.356236|3101|"AI01"
"Appenzell Steinegg"|9050|6|"Rüte"|"AI"|751029|243217|120|9.436597|47.322519|3101|"AI01"
"Apples"|1143|0|"Apples"|"VD"|522543|156163|121|6.428625|46.552264|5421|"VD04"
"Aproz (Nendaz)"|1994|2|"Nendaz"|"VS"|590282|117165|122|7.312728|46.205867|6024|"VS06"
"Aquila"|6719|0|"Blenio"|"TI"|715890|151396|123|8.948503|46.503839|5049|"TI01"
"Aquila"|6719|0|"Blenio"|"TI"|715931|164359|124|8.952294|46.620419|5049|"TI01"
"Aquila"|6719|0|"Blenio"|"TI"|716904|157671|125|8.963297|46.560097|5049|"TI01"
"Aran"|1091|1|"Bourg-en-Lavaux"|"VD"|544091|149893|126|6.710342|46.498011|5613|"VD02"
"Aranno"|6994|0|"Aranno"|"TI"|711089|97278|127|8.873081|46.017914|5143|"TI03"
"Arbaz"|1974|0|"Arbaz"|"VS"|595757|124654|128|7.383594|46.273292|6261|"VS06"
"Arbedo"|6517|0|"Arbedo-Castione"|"TI"|724070|119309|129|9.046481|46.213792|5001|"TI06"
"Arboldswil"|4424|0|"Arboldswil"|"BL"|621128|251795|130|7.718600|47.416625|2881|"BL04"
"Arbon"|9320|0|"Arbon"|"TG"|750505|264638|131|9.436883|47.515242|4401|"TG01"
"Arcegno"|6618|0|"Losone"|"TI"|700723|113161|132|8.742661|46.162392|5115|"TI02"
"Arcegno"|6618|0|"Ronco sopra Ascona"|"TI"|700914|112204|133|8.744928|46.153756|5115|"TI02"
"Arch"|3296|0|"Arch"|"BE"|599158|223655|134|7.427533|47.163858|381|"BE08"
"Arconciel"|1732|0|"Arconciel"|"FR"|575884|177347|135|7.123047|46.746872|2171|"FR04"
"Ardez"|7546|0|"Scuol"|"GR"|811010|184192|136|10.202025|46.775456|3762|"GR04"
"Ardon"|1957|0|"Ardon"|"VS"|585640|117682|137|7.252567|46.210436|6021|"VS06"
"Areuse"|2015|0|"Boudry"|"NE"|555709|200456|138|6.856794|46.953706|6404|"NE01"
"Arezen"|7104|3|"Safiental"|"GR"|744757|182986|139|9.334408|46.782306|3672|"GR10"
"Argnou (Ayent)"|1966|10|"Ayent"|"VS"|597001|123573|140|7.399739|46.263575|6082|"VS06"
"Arisdorf"|4422|0|"Arisdorf"|"BL"|624930|262706|141|7.769589|47.514625|2821|"BL02"
"Aristau"|5628|0|"Aristau"|"AG"|669772|237748|142|8.360953|47.286933|4222|"AG07"
"Arlesheim"|4144|0|"Arlesheim"|"BL"|614177|260497|143|7.626772|47.495078|2763|"BL01"
"Arnegg"|9212|0|"Gossau (SG)"|"SG"|736983|256493|144|9.254917|47.444961|3443|"SG01"
"Arnex-sur-Nyon"|1277|1|"Arnex-sur-Nyon"|"VD"|504045|136759|145|6.191475|46.375339|5701|"VD04"
"Arnex-sur-Orbe"|1321|0|"Arnex-sur-Orbe"|"VD"|529672|171749|146|6.519194|46.693247|5743|"VD03"
"Arni AG"|8905|3|"Arni (AG)"|"AG"|674547|241283|147|8.424653|47.318203|4084|"AG07"
"Arni BE"|3508|0|"Arni (BE)"|"BE"|617473|198361|148|7.668100|46.936108|602|"BE06"
"Arogno"|6822|0|"Arogno"|"TI"|720016|91085|149|8.986744|45.960689|5144|"TI03"
"Arolla"|1986|0|"Evolène"|"VS"|603453|97033|150|7.483228|46.024831|6083|"VS06"
"Arosa"|7050|0|"Arosa"|"GR"|770549|183390|151|9.672167|46.779836|3921|"GR01"
"Arosio"|6939|2|"Alto Malcantone"|"TI"|713151|100656|152|8.900511|46.047953|5237|"TI03"
"Arth"|6415|0|"Arth"|"SZ"|682383|213077|153|8.523131|47.063592|1362|"SZ01"
"Arveyes"|1884|2|"Ollon"|"VD"|571015|126448|154|7.062522|46.288819|5409|"VD05"
"Arvigo"|6543|0|"Calanca"|"GR"|729022|129249|155|9.113383|46.302256|3837|"GR09"
"Arvillard (Salins)"|1991|2|"Sion"|"VS"|592845|117731|156|7.345925|46.210992|6266|"VS06"
"Arzier-Le Muids"|1273|0|"Arzier-Le Muids"|"VD"|505415|146209|157|6.207353|46.460531|5702|"VD04"
"Arzo"|6864|0|"Mendrisio"|"TI"|716669|81618|158|8.941244|45.876131|5254|"TI04"
"Ascharina"|7245|0|"St. Antönien"|"GR"|780251|203448|159|9.807083|46.957628|3893|"GR03"
"Ascona"|6612|0|"Ascona"|"TI"|702813|112456|160|8.769561|46.155736|5091|"TI02"
"Asp"|5025|0|"Densbüren"|"AG"|646020|254854|161|8.048747|47.442867|4004|"AG01"
"Assens"|1042|0|"Assens"|"VD"|537491|162693|162|6.622642|46.612567|5513|"VD02"
"Astano"|6999|0|"Astano"|"TI"|706773|96741|163|8.817239|46.013778|5146|"TI03"
"Asuel"|2954|0|"La Baroche"|"JU"|582684|250006|164|7.209256|47.400644|6810|"JU02"
"Athenaz (Avusy)"|1285|0|"Avusy"|"GE"|489425|112478|165|6.007250|46.154706|6604|"GE01"
"Attalens"|1616|0|"Attalens"|"FR"|554763|151230|166|6.849225|46.510844|2321|"FR07"
"Attelwil"|5056|0|"Attelwil"|"AG"|645869|234768|167|8.044689|47.262222|4272|"AG11"
"Attikon"|8544|0|"Wiesendangen"|"ZH"|702348|265902|168|8.797947|47.535869|298|"ZH09"
"Attinghausen"|6468|0|"Attinghausen"|"UR"|690376|191109|169|8.623969|46.864964|1203|"UR01"
"Attiswil"|4536|0|"Attiswil"|"BE"|613438|233298|170|7.616147|47.250458|971|"BE07"
"Au SG"|9434|0|"Au (SG)"|"SG"|765585|255940|171|9.633775|47.433414|3231|"SG03"
"Au TG"|8376|2|"Fischingen"|"TG"|714173|250743|172|8.951083|47.397608|4726|"TG06"
"Au ZH"|8804|0|"Wädenswil"|"ZH"|691434|233719|173|8.646444|47.248053|142|"ZH03"
"Aubonne"|1170|0|"Aubonne"|"VD"|519663|150026|174|6.392142|46.496725|5422|"VD04"
"Auboranges"|1673|3|"Auboranges"|"FR"|551488|159243|175|6.805711|46.582694|2097|"FR02"
"Auddes-sur-Riddes"|1914|2|"Riddes"|"VS"|584783|111421|176|7.241667|46.154094|6134|"VS07"
"Auenstein"|5105|0|"Auenstein"|"AG"|653314|252282|177|8.145136|47.419186|4091|"AG01"
"Augio"|6547|0|"Rossa"|"GR"|729724|136318|178|9.124464|46.365697|3808|"GR09"
"Augst BL"|4302|0|"Augst"|"BL"|621187|264676|179|7.719994|47.532472|2822|"BL02"
"Aumont"|1484|0|"Les Montets"|"FR"|554960|183506|180|6.848628|46.801189|2050|"FR01"
"Auressio"|6661|2|"Isorno"|"TI"|696161|117445|181|8.684492|46.201592|5137|"TI02"
"Aurigeno"|6677|1|"Maggia"|"TI"|698282|120722|182|8.712656|46.230758|5317|"TI02"
"Auslikon"|8331|0|"Pfäffikon"|"ZH"|703390|244751|183|8.806889|47.345503|177|"ZH10"
"Ausserberg"|3938|0|"Ausserberg"|"VS"|631621|129288|184|7.849150|46.314247|6191|"VS03"
"Ausserbinn"|3995|2|"Ernen"|"VS"|654698|137107|185|8.149650|46.383100|6056|"VS01"
"Ausserferrera"|7444|0|"Ferrera"|"GR"|753581|158187|186|9.441628|46.557322|3713|"GR08"
"Auswil"|4944|0|"Auswil"|"BE"|629894|220484|187|7.832675|47.134661|322|"BE07"
"Autafond"|1782|2|"Autafond"|"FR"|572466|184782|188|7.077869|46.813622|2235|"FR04"
"Autavaux"|1475|0|"Vernay"|"FR"|557214|190606|189|6.877489|46.865203|2052|"FR01"
"Autigny"|1742|0|"Autigny"|"FR"|568048|176230|190|7.020581|46.736497|2173|"FR04"
"Auvernier"|2012|0|"Milvignes"|"NE"|557285|203121|191|6.877247|46.977781|6416|"NE01"
"Auw"|5644|0|"Auw"|"AG"|670406|229414|192|8.368028|47.211908|4223|"AG07"
"Avegno"|6670|0|"Avegno Gordevio"|"TI"|700892|118055|193|8.745906|46.206386|5324|"TI02"
"Aven"|1976|1|"Conthey"|"VS"|586896|120565|194|7.268761|46.236394|6023|"VS06"
"Avenches"|1580|0|"Avenches"|"VD"|569660|192202|195|7.040611|46.880244|5451|"VD03"
"Avry-devant-Pont"|1644|0|"Pont-en-Ogoz"|"FR"|573054|170726|196|7.086400|46.687206|2122|"FR03"
"Avry-sur-Matran"|1754|4|"Avry"|"FR"|571903|181919|197|7.070669|46.787844|2174|"FR04"
"Avully"|1237|0|"Avully"|"GE"|488891|114131|198|5.999947|46.169483|6603|"GE01"
"Axalp"|3855|1|"Brienz (BE)"|"BE"|645845|174646|199|8.038303|46.721439|592|"BE05"
"Ayer"|3961|24|"Anniviers"|"VS"|612894|114322|200|7.605619|46.180239|6252|"VS05"
"Azmoos"|9478|0|"Wartau"|"SG"|754900|216545|201|9.478614|47.081794|3276|"SG04"
"Aïre"|1219|10|"Vernier"|"GE"|496547|117382|202|6.098342|46.199944|6643|"GE01"
"Baar"|6340|0|"Baar"|"ZG"|681767|227841|203|8.517694|47.196456|1705|"ZG01"
"Baar (Nendaz)"|1996|5|"Nendaz"|"VS"|591430|117107|204|7.327603|46.205361|6024|"VS06"
"Bachenbülach"|8184|0|"Bachenbülach"|"ZH"|683011|261759|205|8.540392|47.501339|51|"ZH07"
"Bachs"|8164|0|"Bachs"|"ZH"|675418|264369|206|8.440067|47.525728|81|"ZH06"
"Bad Ragaz"|7310|0|"Bad Ragaz"|"SG"|757242|207751|207|9.506389|47.002167|3291|"SG05"
"Bad Ragaz"|7310|0|"Pfäfers"|"SG"|755849|204687|208|9.487028|46.974944|3291|"SG05"
"Bad Zurzach"|5330|0|"Bad Zurzach"|"AG"|664447|270505|209|8.295292|47.582078|4323|"AG12"
"Baden"|5404|0|"Baden"|"AG"|663319|256307|210|8.278281|47.454500|4021|"AG02"
"Baden"|5400|0|"Baden"|"AG"|664854|258735|211|8.298986|47.476186|4021|"AG02"
"Baldegg"|6283|0|"Hochdorf"|"LU"|663789|225863|212|8.280183|47.180642|1031|"LU05"
"Baldingen"|5333|0|"Baldingen"|"AG"|665984|267708|213|8.315306|47.556769|4301|"AG12"
"Balerna"|6828|0|"Balerna"|"TI"|721717|78530|214|9.005447|45.847472|5242|"TI04"
"Balgach"|9436|0|"Balgach"|"SG"|763594|252989|215|9.606314|47.407381|3232|"SG03"
"Ballaigues"|1338|0|"Ballaigues"|"VD"|521736|175850|216|6.414753|46.729250|5744|"VD03"
"Ballens"|1144|0|"Ballens"|"VD"|518364|156489|217|6.374081|46.554700|5423|"VD04"
"Ballmoos"|3303|4|"Jegenstorf"|"BE"|602829|209940|218|7.475861|47.040486|540|"BE01"
"Ballwil"|6275|0|"Ballwil"|"LU"|666896|222744|219|8.320708|47.152283|1023|"LU05"
"Balm b. Günsberg"|4525|0|"Balm bei Günsberg"|"SO"|608738|233625|220|7.554069|47.253478|2541|"SO01"
"Balm b. Messen"|3254|2|"Messen"|"SO"|599695|216906|221|7.434619|47.103153|2457|"SO01"
"Balmberg"|4524|2|"Balm bei Günsberg"|"SO"|608558|235460|222|7.551728|47.269986|2541|"SO01"
"Balsthal"|4710|0|"Balsthal"|"SO"|619627|240150|223|7.698203|47.311933|2422|"SO04"
"Balterswil"|8362|0|"Bichelsee-Balterswil"|"TG"|713210|257248|224|8.939978|47.456269|4721|"TG06"
"Baltschieder"|3937|0|"Baltschieder"|"VS"|632410|128445|225|7.859333|46.306628|6281|"VS03"
"Baltschieder"|3937|0|"Baltschieder"|"VS"|634046|136159|226|7.881133|46.375936|6281|"VS03"
"Balzers"|9496|0|"Balzers"|"LI"|756904|214619|227|9.504325|47.064006|9999|"A"
"Banco"|6981|16|"Bedigliora"|"TI"|708574|96412|228|8.840411|46.010533|5181|"TI03"
"Bangerten b. Dieterswil"|3256|2|"Bangerten"|"BE"|600685|211745|229|7.447653|47.056728|310|"BE08"
"Bannwil"|4913|0|"Bannwil"|"BE"|622058|231872|230|7.729944|47.237400|323|"BE07"
"Barbengo"|6917|0|"Lugano"|"TI"|714341|90845|231|8.913500|45.959514|5192|"TI03"
"Barberêche"|1783|4|"Barberêche"|"FR"|578850|189542|232|7.161297|46.856672|2243|"FR05"
"Bargen BE"|3282|0|"Bargen (BE)"|"BE"|586219|209918|233|7.257308|47.040153|302|"BE08"
"Bargen SH"|8233|0|"Bargen (SH)"|"SH"|687790|294141|234|8.610222|47.791911|2931|"SH01"
"Barmelweid"|5017|0|"Erlinsbach (AG)"|"AG"|640091|252474|235|7.969933|47.421850|4005|"AG01"
"Barzheim"|8241|0|"Thayngen"|"SH"|696157|290798|236|8.721136|47.760675|2920|"SH01"
"Basadingen"|8254|0|"Basadingen-Schlattingen"|"TG"|697989|280924|237|8.743381|47.671619|4536|"TG03"
"Basel"|4051|0|"Basel"|"BS"|611145|267063|238|7.586700|47.554189|2701|"BS01"
"Basel"|4055|0|"Basel"|"BS"|609433|268118|239|7.563978|47.563703|2701|"BS01"
"Basel"|4052|0|"Basel"|"BS"|611866|263537|240|7.596183|47.522464|2701|"BS01"
"Basel"|4054|0|"Basel"|"BS"|609809|266649|241|7.568942|47.550486|2701|"BS01"
"Basel"|4001|0|"Basel"|"BS"|611308|267305|242|7.588872|47.556361|2701|"BS01"
"Basel"|4059|0|"Basel"|"BS"|611656|264552|243|7.593422|47.531597|2701|"BS01"
"Basel"|4053|0|"Basel"|"BS"|612226|265301|244|7.601014|47.538322|2701|"BS01"
"Basel"|4058|0|"Basel"|"BS"|611460|267074|245|7.590886|47.554281|2701|"BS01"
"Basel"|4057|0|"Basel"|"BS"|612133|269503|246|7.599892|47.576117|2701|"BS01"
"Basel"|4056|0|"Basel"|"BS"|610146|268771|247|7.573467|47.569567|2701|"BS01"
"Basel"|4052|0|"Basel"|"BS"|612708|266308|248|7.607442|47.547369|2701|"BS01"
"Basse-Nendaz"|1996|0|"Nendaz"|"VS"|590186|115628|249|7.311514|46.192039|6024|"VS06"
"Bassecourt"|2854|0|"Haute-Sorne"|"JU"|585601|242562|250|7.248133|47.333761|6729|"JU01"
"Bassersdorf"|8303|0|"Bassersdorf"|"ZH"|689186|254964|251|8.620981|47.439425|52|"ZH07"
"Bassins"|1269|0|"Bassins"|"VD"|507273|146359|252|6.231506|46.462142|5703|"VD04"
"Bauen"|6466|0|"Bauen"|"UR"|686731|198857|253|8.577644|46.935139|1204|"UR01"
