"ID"|"SWISSDOC"
27745|"9.701.1.0"
27746|"9.734.11.0"
27747|"9.723.5.0"
27747|"9.722.4.0"
27747|"9.710.9.0"
27748|"9.725.27.0"
27758|"9.562.2.0"
27760|"9.563.1.0"
27761|"9.563.1.0"
27762|"9.563.2.0"
27763|"9.563.2.0"
23977|"9.814.1.0"
23979|"9.814.3.0"
23983|"9.814.3.0"
35031|"9.725.7.0"
35105|"9.731.2.0"
35106|"9.851.2.0"
35109|"9.854.1.0"
35113|"9.854.2.0"
35115|"9.852.1.0"
35120|"9.561.1.0"
35267|"9.320.1.0"
35269|"9.824.5.0"
35275|"9.822.50.0"
35768|"9.822.50.0"
35768|"9.734.8.0"
36167|"9.861.4.0"
36203|"9.864.2.0"
36251|"9.703.5.0"
59706|"9.703.5.0"
59707|"9.703.5.0"
36272|"9.862.21.0"
36274|"9.862.1.0"
36930|"9.822.37.0"
36930|"9.822.12.0"
36931|"9.703.5.0"
36931|"9.825.8.0"
36942|"9.160.6.0"
36943|"9.160.15.0"
36945|"9.160.1.0"
36946|"9.160.3.0"
36947|"9.540.1.0"
36948|"9.724.2.0"
36949|"9.734.11.0"
36954|"9.854.1.0"
36955|"9.853.1.0"
36956|"9.852.1.0"
36958|"9.616.4.0"
36960|"9.721.70.0"
37132|"9.554.2.0"
37135|"9.731.29.0"
37135|"9.830.2.0"
37138|"9.830.2.0"
37140|"9.827.1.0"
37141|"9.824.9.0"
37146|"9.564.2.0"
37172|"9.851.2.0"
37174|"9.710.9.0"
37177|"9.563.3.0"
37178|"9.852.2.0"
37179|"9.616.6.0"
37180|"9.562.1.0"
37182|"9.731.15.0"
37182|"9.734.6.0"
37190|"9.703.7.0"
37190|"9.703.5.0"
39323|"9.703.7.0"
39323|"9.703.5.0"
39324|"9.703.7.0"
39324|"9.703.5.0"
39325|"9.703.7.0"
39325|"9.703.5.0"
39327|"9.703.7.0"
39327|"9.703.5.0"
39329|"9.703.7.0"
39329|"9.703.5.0"
39330|"9.703.7.0"
39330|"9.703.5.0"
39331|"9.703.7.0"
39331|"9.703.5.0"
58898|"9.703.7.0"
58898|"9.703.5.0"
37195|"9.703.7.0"
37197|"9.703.7.0"
37206|"9.555.14.0"
37209|"9.814.1.0"
37212|"9.862.5.0"
37224|"9.862.5.0"
37225|"9.862.5.0"
37228|"9.862.5.0"
37230|"9.862.5.0"
37231|"9.862.5.0"
37233|"9.862.5.0"
37235|"9.862.5.0"
37238|"9.862.5.0"
37240|"9.862.5.0"
37242|"9.862.5.0"
37245|"9.862.5.0"
37247|"9.862.5.0"
37249|"9.862.5.0"
37250|"9.862.5.0"
37251|"9.862.5.0"
37253|"9.862.5.0"
37256|"9.862.5.0"
37257|"9.862.5.0"
37258|"9.862.5.0"
37219|"9.866.2.0"
37473|"9.710.9.0"
37484|"9.862.22.0"
37485|"9.862.7.0"
37530|"9.701.1.0"
37530|"9.702.7.0"
37530|"9.703.7.0"
37530|"9.733.3.0"
37530|"9.710.5.0"
37534|"9.710.4.0"
37801|"9.830.5.0"
38232|"9.614.3.0"
38233|"9.614.3.0"
38234|"9.614.3.0"
38235|"9.614.3.0"
38236|"9.614.3.0"
38237|"9.614.3.0"
38238|"9.614.3.0"
38261|"9.563.1.0"
38262|"9.563.5.0"
38264|"9.814.6.0"
38264|"9.814.1.0"
38283|"9.612.2.0"
38284|"9.613.2.0"
38286|"9.852.2.0"
38287|"9.852.3.0"
38289|"9.853.1.0"
38308|"9.724.1.0"
38312|"9.851.1.0"
38314|"9.563.4.0"
38319|"9.350.1.0"
38324|"9.614.3.0"
38330|"9.623.1.0"
38331|"9.814.3.0"
38332|"9.814.3.0"
38333|"9.814.3.0"
38918|"9.623.1.0"
38920|"9.616.10.0"
38923|"9.616.4.0"
38951|"9.616.5.0"
38954|"9.703.7.0"
38957|"9.150.2.0"
38961|"9.734.11.0"
38964|"9.725.9.0"
38965|"9.570.9.0"
38978|"9.564.3.0"
38980|"9.616.10.0"
38988|"9.814.6.0"
39044|"9.616.10.0"
39056|"9.562.2.0"
39056|"9.563.8.0"
39056|"9.564.3.0"
39059|"9.854.1.0"
43368|"9.854.1.0"
39075|"9.855.1.0"
39092|"9.854.2.0"
39093|"9.862.21.0"
39094|"9.862.1.0"
39096|"9.851.2.0"
39097|"9.851.2.0"
39101|"9.723.5.0"
39102|"9.830.7.0"
39102|"9.731.28.0"
39115|"9.563.8.0"
39118|"9.590.4.0"
39248|"9.851.3.0"
39249|"9.616.2.0"
39250|"9.725.7.0"
39251|"9.724.2.0"
39251|"9.725.10.0"
39254|"9.725.1.0"
39255|"9.725.25.0"
39257|"9.724.2.0"
39258|"9.725.1.0"
39259|"9.725.22.0"
39267|"9.532.1.0"
39372|"9.722.1.0"
39373|"9.210.2.0"
39379|"9.725.10.0"
39385|"9.710.5.0"
39386|"9.710.5.0"
39387|"9.702.3.0"
39388|"9.702.4.0"
39399|"9.617.1.0"
39405|"9.852.2.0"
39406|"9.852.2.0"
39407|"9.852.2.0"
39409|"9.852.2.0"
39410|"9.852.2.0"
39411|"9.852.2.0"
39769|"9.564.2.0"
39770|"9.564.2.0"
39773|"9.734.8.0"
39774|"9.590.4.0"
39914|"9.220.2.0"
39918|"9.866.2.0"
39923|"9.866.2.0"
55114|"9.866.2.0"
55115|"9.866.2.0"
39925|"9.866.2.0"
55118|"9.866.2.0"
55119|"9.866.2.0"
39926|"9.866.2.0"
40337|"9.822.20.0"
40341|"9.702.5.0"
40345|"9.731.21.0"
40345|"9.614.3.0"
40346|"9.616.8.0"
40346|"9.731.21.0"
40347|"9.731.21.0"
40349|"9.731.21.0"
40351|"9.721.71.0"
40363|"9.703.7.0"
40364|"9.616.10.0"
40365|"9.563.4.0"
40369|"9.563.1.0"
40370|"9.563.1.0"
40381|"9.811.2.0"
40382|"9.811.2.0"
40383|"9.811.2.0"
40574|"9.733.1.0"
40576|"9.851.3.0"
40653|"9.725.25.0"
40655|"9.725.10.0"
40655|"9.611.3.0"
40655|"9.616.6.0"
40656|"9.725.10.0"
40656|"9.722.9.0"
40656|"9.724.2.0"
40657|"9.724.2.0"
40658|"9.724.2.0"
40659|"9.724.2.0"
40660|"9.725.10.0"
40661|"9.725.10.0"
40665|"9.723.5.0"
40669|"9.703.7.0"
40672|"9.616.6.0"
40682|"9.701.5.0"
40682|"9.723.10.0"
40684|"9.613.2.0"
40685|"9.580.2.0"
40689|"9.555.5.0"
40691|"9.616.10.0"
40701|"9.862.19.0"
40702|"9.861.11.0"
40713|"9.854.2.0"
40717|"9.855.1.0"
40719|"9.590.4.0"
40723|"9.822.12.0"
40727|"9.563.4.0"
40731|"9.725.25.0"
40733|"9.723.10.0"
40739|"9.566.3.0"
40740|"9.851.1.0"
40752|"9.721.70.0"
53063|"9.725.5.0"
53064|"9.725.5.0"
34189|"9.722.3.0"
34190|"9.220.2.0"
3410|"9.564.3.0"
3411|"9.563.1.0"
3412|"9.563.2.0"
3413|"9.563.3.0"
3416|"9.852.1.0"
3418|"9.853.1.0"
3419|"9.854.1.0"
3420|"9.854.2.0"
3422|"9.855.1.0"
3428|"9.566.3.0"
3429|"9.563.1.0"
3435|"9.814.3.0"
3435|"9.814.6.0"
3437|"9.852.1.0"
