ID;FINGERPRINT;STELLENNUMMER_AVAM;STELLENNUMMER_EGOV;URL;BEZEICHNUNG;BESCHREIBUNG;DETAILANGABEN;ERGAENZENDE_ANGABEN;STELLENANTRITT;AB_SOFORT_B;VERTRAGSDAUER;UNBEFRISTET_B;PENSUM_VON;PENSUM_BIS;GLEICHE_OSTE;ARBEITSZEIT_STD;LOHN_MIN;LOHN_MAX;WAEHRUNG;LOHNART_CODE;ALTER_VON;ALTER_BIS;GESCHLECHT_CODE;ANGABEN_ALTER;ARBEITSORTGEMEINDE;ARBEITSORT_TEXT;KANTON;ARBEITSORT_PLZ;ARBEITSORT_AUSLAND;ARBEITSORT_REGION;ARBEITSLAND_DE;ARBEITSLAND_FR;ARBEITSLAND_IT;ARBEITSAMTBEREICH;KATEGORIE_CODE;ANMELDE_DATUM;ABMELDE_DATUM;ABMELDE_GRUND_CODE;GUELTIGKEIT;PRIV_FAHRZEUG_B;JOB_SHARING_B;BEHINDERT;WWW_PUBLIKATION_B;WWW_ANONYM_B;SSI_PUBLIKATION_B;SSI_ANONYM_B;TELETEXT_B;TELETEXT_ANONYM_B;TELETEXT_KANAL_CODE;TELETEXT_ZUSATZTEXT;EURES_B;EURES_ANONYM_B;BEWER_SCHRIFTLICH_B;BEWER_ELEKTRONISCH_B;BEWER_TELEFONISCH_B;BEWER_PERSOENLICH_B;UNT_NAME;UNT_STRASSE;UNT_HAUS_NR;UNT_PLZ;UNT_ORT;UNT_POSTFACH;UNT_POSTFACH_PLZ;UNT_POSTFACH_ORT;UNT_LAND;UNT_TELEFON;UNT_EMAIL;UNT_URL;KP_ANREDE_CODE;KP_NAME;KP_VORNAME;KP_TELEFON_NR;KP_EMAIL;BQ1_AVAM_BERUF_NR;BQ1_QUALIFIKATION_CODE;BQ1_VERWANDTE_BERUFE_B;BQ1_ERFAHRUNG_CODE;BQ1_AUSBILDUNG_CODE;BQ2_AVAM_BERUF_NR;BQ2_QUALIFIKATION_CODE;BQ2_VERWANDTE_BERUFE_B;BQ2_ERFAHRUNG_CODE;BQ2_AUSBILDUNG_CODE;BQ3_AVAM_BERUF_NR;BQ3_QUALIFIKATION_CODE;BQ3_VERWANDTE_BERUFE_B;BQ3_ERFAHRUNG_CODE;BQ3_AUSBILDUNG_CODE;SK1_SPRACHE_CODE;SK1_MUENDLICH_CODE;SK1_SCHRIFTLICH_CODE;SK1_MUTTERSPRACHE_B;SK1_AUFENTHALT_B;SK2_SPRACHE_CODE;SK2_MUENDLICH_CODE;SK2_SCHRIFTLICH_CODE;SK2_MUTTERSPRACHE_B;SK2_AUFENTHALT_B;SK3_SPRACHE_CODE;SK3_MUENDLICH_CODE;SK3_SCHRIFTLICH_CODE;SK3_MUTTERSPRACHE_B;SK3_AUFENTHALT_B;SK4_SPRACHE_CODE;SK4_MUENDLICH_CODE;SK4_SCHRIFTLICH_CODE;SK4_MUTTERSPRACHE_B;SK4_AUFENTHALT_B;SK5_SPRACHE_CODE;SK5_MUENDLICH_CODE;SK5_SCHRIFTLICH_CODE;SK5_MUTTERSPRACHE_B;SK5_AUFENTHALT_B
"18acb3b42033486c04115500cc799cb48c7bfc0531252fd29100ac5f42b875eb004c44c620d0301c";"18acb3b42033486c04115500cc799cb48c7bfc0531252fd29100ac5f42b875eb004c44c620d0301c";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272263%27";"SERRURIER D ATELIER";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-10-18-12.00.34.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc054bcc6482e86281fc69806594a97a6e16c6b0cf6c";"18acb3b42033486c04115500cc799cb48c7bfc054bcc6482e86281fc69806594a97a6e16c6b0cf6c";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272152%27";"Technicien en ventilation";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-06-07-01.02.12.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc0555f21e37af5e8742143a8e69b2e15811d316de36";"18acb3b42033486c04115500cc799cb48c7bfc0555f21e37af5e8742143a8e69b2e15811d316de36";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272547%27";"TECHNICIEN RESPONSABLE SCIAGE FORAGE";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-03-02-01.43.09.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740ee8ebd6ca57313fa96ffbe4bc7a36f4e7b05c4e4a";"c8a055180587599139f8f454712dcc618cd1740ee8ebd6ca57313fa96ffbe4bc7a36f4e7b05c4e4a";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18733";"Assistant-e (A2) dans le domaine Enseignement spécialisé";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-07-14-13.48.56.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740ed3f72d5477a3a9183eb2b3065d5a47cb08a8f505";"c8a055180587599139f8f454712dcc618cd1740ed3f72d5477a3a9183eb2b3065d5a47cb08a8f505";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=17755";"Assistant-e CDT (Certificat de droit transnational)";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-07-01-01.57.18.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740e83b4a7ad679e874d7f986b82db055bc1bdc60f89";"c8a055180587599139f8f454712dcc618cd1740e83b4a7ad679e874d7f986b82db055bc1bdc60f89";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18653";"Assistant-e organisation - collaborateur-trice promotion";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-07-06-00.12.07.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740e81445c073e529b242bffb0d1da8f2f719f88f68b";"c8a055180587599139f8f454712dcc618cd1740e81445c073e529b242bffb0d1da8f2f719f88f68b";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18674";"Commis-e administratif-ive 5 - chargé-e des relations entreprises";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-07-03-11.44.34.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740e649a105012a614c552aca6b23914b372f603997f";"c8a055180587599139f8f454712dcc618cd1740e649a105012a614c552aca6b23914b372f603997f";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18453";"Professeur-e ordinaire ou associé-e en philosophie analytique";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-06-17-00.55.09.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740e3cf4168a047277f9872da5fb0f0fb3425e5a0b8f";"c8a055180587599139f8f454712dcc618cd1740e3cf4168a047277f9872da5fb0f0fb3425e5a0b8f";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18554";"Rectrice ou Recteur";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-06-22-00.26.33.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"c8a055180587599139f8f454712dcc618cd1740e9d0bcd6089b4fb4cf1953c0d2ce772ba2e71fb7d";"c8a055180587599139f8f454712dcc618cd1740e9d0bcd6089b4fb4cf1953c0d2ce772ba2e71fb7d";;;"https://jobs.unige.ch/www/wd_portal.show_job?p_web_site_id=1&p_web_page_id=18713";"Stagiaire maturité professionnelle l";;;;;;;;100;100;;;;;;;;;;;"6621";"CH-1211 Genève";"GE";"1211";;"GE01";;;;;;"2015-07-10-12.05.28.000000";;;;;;;;;;;;;;;;;;;;;"Université de Genève";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05efb8aadd37a1c8804f42644f81dd3c0b83c8fc3b";"18acb3b42033486c04115500cc799cb48c7bfc05efb8aadd37a1c8804f42644f81dd3c0b83c8fc3b";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272587%27";"Applicateur de résines";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-06-17-02.54.57.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05ca060c5dcf9310fa98523d8914b829eb4833093f";"18acb3b42033486c04115500cc799cb48c7bfc05ca060c5dcf9310fa98523d8914b829eb4833093f";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272599%27";"Assistante de Direction";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-07-16-00.04.39.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc052b49475b756c73b0e99567b8d1a49db2056e720d";"18acb3b42033486c04115500cc799cb48c7bfc052b49475b756c73b0e99567b8d1a49db2056e720d";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272516%27";"chapiste";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-02-02-01.01.17.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc059e2553b4729960d0efbeec435882668ffd0dff70";"18acb3b42033486c04115500cc799cb48c7bfc059e2553b4729960d0efbeec435882668ffd0dff70";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272143%27";"Charpentier";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-06-04-06.01.55.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05e06e3567cc751d965cd221bee9cd943abb0bc851";"18acb3b42033486c04115500cc799cb48c7bfc05e06e3567cc751d965cd221bee9cd943abb0bc851";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272268%27";"chef d équipe en échafaudage";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-10-18-12.00.34.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05027eb8a93f5d5dee9d4d97a9598107d06caffb87";"18acb3b42033486c04115500cc799cb48c7bfc05027eb8a93f5d5dee9d4d97a9598107d06caffb87";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272541%27";"CHEF D'ATELIER MECANIQUE DE MACHINES AGRICOLES";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-02-24-07.14.26.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc0595449c47c75d1dd98d563a8462e945d5b44381ef";"18acb3b42033486c04115500cc799cb48c7bfc0595449c47c75d1dd98d563a8462e945d5b44381ef";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272145%27";"chef de chantier sanitaire";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-06-04-06.01.55.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc055c1dc07026ceafcb704bdff1375815f30a769a13";"18acb3b42033486c04115500cc799cb48c7bfc055c1dc07026ceafcb704bdff1375815f30a769a13";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%27747%27";"Chef de projet";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2011-03-09-10.51.28.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05ee2825e481cc3ed15f8a798cc4a06e4fefab9513";"18acb3b42033486c04115500cc799cb48c7bfc05ee2825e481cc3ed15f8a798cc4a06e4fefab9513";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272590%27";"Collaborateur Institutional Sales";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-06-29-01.34.19.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc056272cce8c0f7338217ab049f7406babaa0b2c1cc";"18acb3b42033486c04115500cc799cb48c7bfc056272cce8c0f7338217ab049f7406babaa0b2c1cc";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272575%27";"Collaborateur/trice commercial/e";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-05-05-21.22.46.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05b5513d7897007dbe21b3128db0acdd6963fe0f37";"18acb3b42033486c04115500cc799cb48c7bfc05b5513d7897007dbe21b3128db0acdd6963fe0f37";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272591%27";"Collaborateur/trice Fichier Central";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-06-29-01.34.19.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc0542c8a5c680165278f25380334dfbc856a831f196";"18acb3b42033486c04115500cc799cb48c7bfc0542c8a5c680165278f25380334dfbc856a831f196";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272151%27";"Dépanneur en chauffage";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2013-06-07-01.02.12.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc05d12a2656ad5a9ebd4b0c2f0dd3b2cdc8a18922e1";"18acb3b42033486c04115500cc799cb48c7bfc05d12a2656ad5a9ebd4b0c2f0dd3b2cdc8a18922e1";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%272559%27";"DESAMIANTEUR";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2015-03-20-07.15.44.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"18acb3b42033486c04115500cc799cb48c7bfc051bf6592ecf317c9cd6f92bab901b7ac5dd6fa2af";"18acb3b42033486c04115500cc799cb48c7bfc051bf6592ecf317c9cd6f92bab901b7ac5dd6fa2af";;;"http://www.maxstuder.ch/db/maxs/template=details.html&query=ID=%271322%27";"Electricien (connection fibre optique)";;;;;;;;100;100;;;;;;;;;;;;"Genève";"GE";;;;;;;;;"2011-03-09-10.51.30.000000";;;;;;;;;;;;;;;;;;;;;"Max Studer Interim S.A.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
